23:02:18–23:02:21  I say '哎，我操，这可以哈！'.
23:16:27–23:16:30  Companion says '而且他的手指，这个四指这块是截掉的，也是不知道怎么着，就是做活的时候这块就截掉了。'.
23:16:31–23:16:36  Companion says '你看他吃饭的时候是是就这样，我以前一直以为是他这么着藏着吃，然后结果实际上这节是没有了。'.
23:16:37–23:16:40  Companion says '被人砍的，我操，这么屌，'.
23:16:41–23:16:47  I watch the cooking scene on the phone screen.
23:16:48–23:16:58  I watch a cooking video.
23:16:58–23:17:01  I look toward the train doors.
23:17:01–23:17:04  Companion says '坐在我们车上的人没有一个人下车。'
23:17:04–23:17:06  I say '没事站着吧。'
23:17:06–23:17:08  Companion says '哦。'
23:17:08–23:17:14  Companion says '他这个虾尾怎么这么肥呀？'
23:17:14–23:17:18  Companion says '你那天给我买的那个。'
23:17:18–23:17:21  I watch a crayfish cooking video.
23:17:22–23:17:28  I watch seasonings added to the crayfish.
23:17:29–23:17:34  I watch the food preparation on screen.
23:17:35–23:17:47  I watch people eating the crayfish on screen.
23:17:48–23:17:53  I watch a video on my companion's smartphone.
23:17:53–23:18:00  My companion says '他跟他爸长得好像。'
23:18:00–23:18:04  I watch the dining video.
23:18:04–23:18:07  I say '你看他这个指头。'
23:18:07–23:18:10  My companion says '哦。'
23:18:10–23:18:17  I watch the food vlog video.
23:18:18–23:18:23  I watch a crawfish food video.
23:18:24–23:18:29  I look toward the subway aisle.
23:18:30–23:18:32  Companion asks '咋了？'.
23:18:33–23:18:44  I watch a passenger adjust a bag.
23:18:45–23:18:47  I look back at the food video.
23:18:48–23:18:57  I watch an eating vlog.
23:18:57–23:19:10  I watch the video.
23:19:11–23:19:13  I glance at the yellow grab pole.
23:19:14–23:19:17  I look back at the phone.
23:19:18–23:19:24  I watch a dining video.
23:19:25–23:19:35  I watch the video subtitles.
23:19:36–23:19:42  I say '嗯，太会吃了，湖南就这样吃。'
23:19:43–23:19:47  I watch the food clip.
23:19:48–23:19:53  I watch a crawfish food video.
23:19:53–23:20:01  I watch noodles being mixed into crawfish.
23:20:01–23:20:09  I watch noodles being served into bowls.
23:20:09–23:20:17  I watch the diners eat noodles.
23:20:18–23:20:25  I watch an eating vlog video.
23:20:26–23:20:34  I watch the food close-up in the video.
23:20:35–23:20:43  I watch the diners taking food in the video.
23:20:44–23:20:47  I watch the crawfish platter in the video.
23:20:48–23:21:06  I watch a Bilibili video.
23:21:06–23:21:08  I tap the phone screen.
23:21:08–23:21:14  I rotate my phone.
23:21:14–23:21:18  I view the Bilibili feed.
23:21:18–23:21:26  I browse the video feed.
23:21:27–23:21:29  I say '我最喜欢这种。'
23:21:30–23:21:34  I say '这多少个锅一起炒啊！'
23:21:35–23:21:47  I say '我嘞个豆，五个锅，看着就饱了。'
23:21:48–23:21:54  I watch a wok-cooking video.
23:21:55–23:22:03  I monitor the cooking video.
23:22:04–23:22:11  I watch the chicken being tossed.
23:22:12–23:22:17  I watch the cooking demonstration.
23:22:18–23:22:42  I watch a cooking short video.
23:22:43–23:22:44  I look up at the ceiling grab handles.
23:22:45–23:22:45  I look at the silver suitcase.
23:22:46–23:22:46  I glance through the train door window.
23:22:47–23:22:48  I look back at my phone.
23:22:48–23:22:52  I watch a cooking video.
23:22:53–23:22:57  I say, '还是这种新鲜的，一看就是杀了之后冻的。'
23:22:58–23:23:03  I watch the chicken stir-frying.
23:23:04–23:23:10  I watch seasonings added to the wok.
23:23:11–23:23:17  I watch the wok tossing.
23:23:18–23:23:24  I watch a stir-fry cooking video.
23:23:24–23:23:36  I watch the cooking video.
23:23:36–23:23:40  Companion says '感觉第四份少一点呢。'
23:23:40–23:23:44  I say '啊，第四份只放了一袋。'
23:23:44–23:23:48  Companion says '啊，是吗？'
23:23:48–23:23:54  I watch a Douyin cooking video.
23:23:54–23:24:00  I say '我觉得下次可以买点豆瓣酱呗，豆瓣酱最好。'
23:24:00–23:24:07  I watch flames erupt in the video.
23:24:07–23:24:11  Companion says '嗯。'
23:24:11–23:24:18  I watch the dish being tossed.
23:24:18–23:24:21  I say '我明天答应了User X要去健身房。'
23:24:21–23:24:23  Companion says '去呗。'
23:24:23–23:24:27  I say '去。我不想去，感觉没啥练的。'
23:24:27–23:24:33  Companion says '你明天健身房，全是器械，没有自由重量，蹲腿、卧推都没有。'
23:24:33–23:24:36  I say '有蹲腿啊。'
23:24:36–23:24:39  Companion says '哦对，有蹲腿。'
23:24:39–23:24:44  Companion says '卧推也，哦，卧推其实也算有吧。'
23:24:44–23:24:47  I watch the cooking video.
23:24:48–23:24:53  I watch a cooking video.
23:24:54–23:24:57  My companion says '那奖章有点贵啊，感觉。'
23:24:58–23:25:01  I say '你不去，你可以去打个招呼。'
23:25:02–23:25:06  I say '我操，加啥了？'
23:25:07–23:25:10  My companion says '豆瓣酱。酱油。'
23:25:11–23:25:17  I say '那为啥可以炒出这么大火？'
23:25:18–23:25:21  I watch a cooking video.
23:25:21–23:25:24  I watch flames erupt in the video.
23:25:24–23:25:48  I watch the cooking video.
23:25:48–23:25:51  I watch a street food video.
23:25:51–23:25:53  Friend asks '那你明儿睡到自然醒了？'
23:25:53–23:25:56  I say '那倒也不会，八九点了。'
23:25:56–23:26:00  Friend says '睡醒就起这么早啊？八九点？你起那么早弄啥嘞？'
23:26:00–23:26:02  I say '作业啊。'
23:26:02–23:26:05  Friend says '平板跳梗，还有多少作业？'
23:26:05–23:26:13  I say '我操，上次那作业还没弄呢，周六就弄科研了。明天也得先弄一下科研，然后再弄作业。'
23:26:13–23:26:17  Friend says '好吧，那你在家弄吧。没有想吃的菜吗？'
23:26:18–23:26:23  I watch a cooking video while hearing '早上不饿的，放心。明天中午都不会饿的。晚上会饿。'
23:26:23–23:26:27  I listen to '里面有课吗？没有课，结课了。'
23:26:27–23:26:33  I listen to '你晚上想吃啥？我想去学校吃食。好吧。'
23:26:33–23:26:41  I listen to '我说去你学校。啊。我学校吗？啊。'
23:26:41–23:26:48  I listen to '那你等我健身回来。你要去图书馆吗？还是？啊。'
23:26:48–23:26:49  I swipe up on the short-video feed.
23:26:49–23:26:53  My companion says '我觉得可以让User X把他的卡借一下。'
23:26:53–23:26:57  I say '没事，我我有那个卡。' to my companion.
23:26:57–23:27:01  My companion says '哦，你有八小桶。'
23:27:01–23:27:12  I watch the variety show clip.
23:27:12–23:27:18  My companion says '啊，去不了，我也不想去健身。'
23:27:18–23:27:23  The companion asks '哎，你看我今天早上起来没落呀？'.
23:27:23–23:27:36  I watch the Bilibili video about 演员的自我修养.
23:27:36–23:27:38  I swipe to the next video.
23:27:38–23:27:43  I watch the video feed showing 你好，12315.
23:27:43–23:27:47  I swipe to an interview video.
23:27:48–23:28:08  I watch a video stream.
23:28:08–23:28:10  I look at my companion.
23:28:10–23:28:17  I monitor my phone.
23:28:18–23:28:22  I watch a short video.
23:28:22–23:28:26  I watch the short video.
23:28:26–23:28:30  I look at the speaker.
23:28:30–23:28:36  I watch the video player.
23:28:36–23:28:43  I watch the video stream.
23:28:43–23:28:48  I monitor the short video.
23:28:48–23:28:55  I watch a live stream.
23:28:55–23:29:05  I watch the live video stream.
23:29:05–23:29:17  I monitor my smartphone screen.
23:29:18–23:29:39  I watch a video on a smartphone.
23:29:40–23:29:44  I watch a cooking video on my companion's phone.
23:29:44–23:29:48  My companion says '哦，我爸经常做，老好吃了，没啥。'
23:29:48–23:29:57  I watch a cooking video.
23:29:58–23:30:08  I view my smartphone.
23:30:08–23:30:13  A passenger says '困难的，真的。他就是用的流泪牌。'
23:30:13–23:30:18  I monitor the live stream.
23:30:18–23:30:19  I watch a driving video.
23:30:20–23:30:35  I scroll through video recommendations.
23:30:36–23:30:43  I watch a video on my companion's phone.
23:30:44–23:30:45  I say '逆天！我操！'.
23:30:46–23:30:47  I look down at my phone.
23:30:48–23:30:50  I glance toward my companion's phone.
23:30:51–23:30:54  My companion says '哎，这容易把你脊椎给搞断，我操！你看这个。'.
23:30:55–23:31:04  I watch a video on my phone.
23:31:05–23:31:14  I watch the video transition to street and press conference footage.
23:31:15–23:31:17  I scan across the train carriage.
23:31:18–23:31:20  I observe passengers in the train carriage.
23:31:21–23:31:22  I look at my smartphone screen.
23:31:23–23:31:24  I adjust my smart glasses.
23:31:25–23:31:47  I watch a video on my smartphone.
23:31:48–23:31:58  I watch a news commentary video.
23:31:59–23:32:03  I navigate a chat list.
23:32:04–23:32:07  I type on the on-screen keyboard.
23:32:08–23:32:17  I watch the news video.
23:32:18–23:32:24  I watch a conference video.
23:32:24–23:32:31  I watch semiconductor equipment footage.
23:32:31–23:32:35  I watch industrial machinery footage.
23:32:35–23:32:47  I watch factory equipment footage.
23:32:48–23:32:53  I watch a news video about ASML export controls.
23:32:54–23:32:56  I watch the video segment showing seized Nexperia chips.
23:32:57–23:33:02  I watch the video footage of European political meetings and protests.
23:33:03–23:33:05  I watch the video scene in an arid landscape.
23:33:06–23:33:14  I watch the video clip of Donald Trump at a press briefing.
23:33:15–23:33:18  I watch the video display an illustrated document.
23:33:18–23:33:28  I watch a video on my phone.
23:33:28–23:33:31  Companion says '我要这样玩。'
23:33:31–23:33:34  Companion says '等一下。我操！'
23:33:34–23:33:38  Companion asks '可以吗？可以吗？'
23:33:38–23:33:43  I say '我是可以，你有劲儿就行。'
23:33:43–23:33:48  Companion says '我有劲儿啊。'
23:33:48–23:33:51  I watch a video.
23:33:52–23:34:04  I scroll through video recommendations.
23:34:05–23:34:17  I watch a driving vlog.
23:34:18–23:34:26  I watch a POV driving video on Bilibili.
23:34:27–23:34:30  I watch the video transition to a vlogger scene on Bilibili.
23:34:31–23:34:38  I watch a vlog video on Bilibili.
23:34:39–23:34:40  I say '嗯。'.
23:34:41–23:34:47  I watch the studio vlog video on Bilibili.
23:34:48–23:35:01  I watch a Bilibili travel vlog.
23:35:01–23:35:03  I check the train doors.
23:35:03–23:35:05  I say '门开了。'
23:35:05–23:35:17  I continue watching the Bilibili vlog.
23:35:18–23:35:23  I watch a Bilibili vlog.
23:35:23–23:35:33  I watch the video stream.
23:35:33–23:35:47  I watch outdoor transit footage on Bilibili.
23:35:48–23:35:53  I watch a transit video.
23:35:54–23:35:58  I watch highway driving footage.
23:35:59–23:36:04  The train announcement plays '请勿靠近车门，请不要靠近车门。Please stand back from the car door.'
23:36:05–23:36:17  I watch the road cab-view video.
23:36:18–23:36:29  I watch a video on my phone.
23:36:30–23:36:34  I watch food preparation in the video.
23:36:35–23:36:38  The train broadcast announces '下一站，沙田公路。'
23:36:39–23:36:47  I watch a demonstration on my phone.
23:36:48–23:36:59  I watch a Bilibili video.
23:37:00–23:37:04  My companion says '你的双眼皮。'
23:37:05–23:37:11  My companion exclaims '嘿嘿嘿，啊，好，好吓人。'
23:37:12–23:37:18  I watch highway dashcam footage.
23:37:18–23:37:23  I watch the Bilibili video.
23:37:24–23:37:27  I look up at my companion.
23:37:28–23:37:37  I watch the driving video.
23:37:38–23:37:47  I watch the updated video.
23:37:48–23:37:49  I look at my phone video.
23:37:50–23:37:52  I check the subway route display.
23:37:53–23:37:57  I say '什么？你不可以什么？哎！你撞我，你A什么呀？我还没A呢。' to my friend.
23:37:58–23:38:00  I look around the cabin.
23:38:01–23:38:06  I say '摸着我的手，手好冷。'.
23:38:07–23:38:17  I say '不是你手怎么也变冷？'.
23:38:18–23:38:19  I watch a driving video.
23:38:20–23:38:21  Companion says '太棒了！'.
23:38:22–23:38:31  I watch the phone video.
23:38:32–23:38:41  I watch food footage in the video.
23:38:42–23:38:47  I watch dining footage in the video.
23:38:48–23:38:54  I watch a Bilibili video.
23:38:54–23:39:18  I watch the night driving video.
23:39:18–23:39:26  I watch a Bilibili video.
23:39:26–23:39:32  I monitor the video while companion moves her phone.
23:39:32–23:39:37  I watch the video scene transition.
23:39:37–23:39:48  I watch the Bilibili stream.
23:39:48–23:39:54  I watch a video on Bilibili.
23:39:55–23:39:58  I watch the video as my companion leans in.
23:39:59–23:40:05  I watch the video as my companion smiles.
23:40:06–23:40:11  I watch the indoor footage on Bilibili.
23:40:12–23:40:18  I watch the truck driving footage on Bilibili.
23:40:18–23:40:41  I watch a Bilibili video about truck footage.
23:40:42–23:40:46  I watch the presenter speaking in the video.
23:40:47–23:40:47  I look toward the subway floor.
23:40:48–23:40:51  I stand near the train door.
23:40:52–23:40:57  I monitor passengers in the carriage.
23:40:58–23:41:01  I watch the doors open.
23:41:02–23:41:06  I alight onto the platform.
23:41:07–23:41:13  I say '哇，这是个大环。有没有全室内通道？'
23:41:14–23:41:18  I walk across the concourse.
23:41:18–23:41:22  I say '嗯？全是什么？'.
23:41:22–23:41:26  Companion says '全室内通道。呃，有。有商场吗？走吧。'.
23:41:26–23:41:31  I say '为什么？算了啊，走走吧。'.
23:41:31–23:41:37  Companion says '啥？怎么算了？'.
23:41:37–23:41:47  I walk across the platform.
23:41:48–23:41:52  I ask '走那个近的吧，还是啊？'
23:41:52–23:41:56  I say '走商场。'
23:41:56–23:42:01  I say '回来回来，到围方了。'
23:42:01–23:42:06  I say '回来嘞，今天准备买那三只公鸡。'
23:42:06–23:42:11  I ask '他发啥了？'
23:42:11–23:42:15  I say '徐老师朋友还在家。'
23:42:15–23:42:18  I say '啊哈。'
23:42:18–23:42:20  My companion asks "User X大概多胖啊？".
23:42:20–23:42:23  I say "感觉得有个一百五六吧。" to my companion.
23:42:23–23:42:25  My companion asks "他多高啊？".
23:42:25–23:42:29  I say "跟我差不多高，一米七吧，可能。" to my companion.
23:42:29–23:42:35  My companion asks "对，还有你也有吧？".
23:42:35–23:42:45  I say "我我不太清楚，一会就把它拿出来。" to my companion.
23:42:45–23:42:47  I watch companion take out a dessert container.
23:42:48–23:42:50  I face my companion.
23:42:51–23:42:52  I say '你问我？'.
23:42:53–23:42:56  I follow my companion.
23:42:57–23:43:02  I approach the escalator.
23:43:03–23:43:05  I board the escalator.
23:43:06–23:43:11  I watch my companion take a pudding.
23:43:12–23:43:17  I reach toward the dessert packet.
23:43:18–23:43:21  I tear open a dessert spoon packet.
23:43:22–23:43:24  I unwrap a plastic spoon.
23:43:25–23:43:26  I scoop dessert from my companion's cup.
23:43:27–23:43:28  My companion asks "它是蛋糕吧？".
23:43:29–23:43:32  I step off the escalator.
23:43:33–23:43:39  I walk down the concourse corridor.
23:43:40–23:43:47  I walk alongside my companion eating dessert.
23:43:48–23:43:51  I eat a spoonful of pudding cake.
23:43:51–23:43:56  I say '蛋糕其实，布丁下面是那种，还可以，挺好吃的，下面挺好吃的。'
23:43:56–23:44:03  I walk towards the exit turnstiles.
23:44:04–23:44:06  I scan my phone at the exit gate.
23:44:07–23:44:17  I walk towards The Wai mall entrance.
23:44:18–23:44:23  I walk towards the escalator.
23:44:24–23:44:33  I ride the escalator up.
23:44:34–23:44:37  I say '感觉还没有我讲的这么甜。'
23:44:38–23:44:43  I look at the Market Place storefront.
23:44:44–23:44:47  I step off the escalator.
23:44:48–23:44:51  I look at the Market Place sign.
23:44:52–23:44:57  I walk along the corridor.
23:44:58–23:45:03  I look toward the closed storefront.
23:45:04–23:45:09  I walk toward the yellow pillar.
23:45:10–23:45:14  I examine the yellow pillar.
23:45:15–23:45:17  I glance toward the framed poster gallery.
23:23:48–23:23:53  watch a short cooking video on Douyin by '只卖鲜炒鸡' showing ingredients being prepared and stir-fried in a wok
23:23:53–23:23:54  utter '嗯'
23:23:54–23:24:03  continue watching the short video as intense flames erupt from the wok during stir-frying
23:45:48–23:45:51  Companion says '我不想吃了。'
23:45:51–23:45:55  I say '现在为什么感觉有点赶、有点急的样子？'
23:45:55–23:45:58  Companion says '不知道为什么。'
23:45:58–23:46:02  I say '好啊。'
23:46:02–23:46:07  I walk past LOJEL.
23:46:07–23:46:13  I walk past Bauhaus.
23:46:13–23:46:18  I walk toward the atrium.
23:46:18–23:46:22  I walk along the balcony.
23:46:22–23:46:25  I say '泡澡吗？泡吗？其实冲一下也可以。'
23:46:25–23:46:28  Companion says '泡也行，冲也行，都行。'
23:46:28–23:46:32  I say '好，冲吧，冲也挺爽的。'
23:46:32–23:46:38  I walk past OLENS.
23:46:38–23:46:42  Companion asks '米菜你吃过吗？'
23:46:42–23:46:47  I look at the atrium event area.
23:46:48–23:46:53  I say "嗯，User X去吃过一次，还行，啊，一个人吃了一百多吧。"
23:46:48–23:46:55  I walk along the corridor.
23:46:56–23:47:03  I walk toward the L4 pillar.
23:47:04–23:47:10  I round the L4 pillar.
23:47:11–23:47:17  I walk past a kiosk.
23:47:18–23:47:22  My companion says '下次带你去吃那个凑凑。'
23:47:22–23:47:25  I say '凑凑是火锅吗？'
23:47:25–23:47:32  My companion says '对，它是那种，就是单，它有那种五吃套餐，是那种单独的一人一个小火锅。'
23:47:32–23:47:40  My companion says '然后我觉得最好吃是它那个甜品，真的很好吃，'
23:47:40–23:47:48  My companion says '就是自己DIY，自己做那个刨冰，然后芋泥，还有珍珠、糯米。'
23:47:48–23:47:52  I say '奶皮子、红豆啥的，还有蛋奶，两都有。'
23:47:52–23:47:55  I say '或许明天可以做一个小汉堡吃。'
23:47:55–23:47:59  I say '哦。我来试一下自己复刻丰糖汉堡，咋样？'
23:47:59–23:48:02  My companion says '听起来不错。'
23:48:02–23:48:05  I say '不一定会成功。'
23:48:06–23:48:10  I say '学会打电话了，我操！'
23:48:11–23:48:17  I ride the escalator down.
23:48:18–23:48:21  I unlock my phone.
23:48:22–23:48:26  I browse Bilibili feed.
23:48:27–23:48:30  I say '猫血，猫血，猫血。嗯？猫猫猫猫猫血，猫血。'
23:48:31–23:48:33  I open iOS Control Center.
23:48:34–23:48:43  I scroll Bilibili feed.
23:48:44–23:48:47  I say '好，上paper store。'
23:48:48–23:48:54  I walk towards the exit while watching short videos.
23:48:55–23:48:58  I exit through the glass doors.
23:48:59–23:49:07  I walk along the bridge while viewing a video.
23:49:08–23:49:10  I say '哎。'
23:49:11–23:49:17  I walk toward pedestrians while watching a video.
23:49:18–23:49:21  I watch a girl pet a puppy.
23:49:21–23:49:25  Companion asks '如果让你选养猫和养狗，你会选养猫还是养狗？'.
23:49:25–23:49:28  I say '狗。'.
23:49:28–23:49:33  Companion says '那你养狗，我养猫。听见没？'.
23:49:33–23:49:35  I say '好。'.
23:49:35–23:49:39  I watch a car review video.
23:49:40–23:49:48  I watch a food video.
23:49:48–23:49:52  I watch short videos.
23:49:53–23:49:57  I enter through glass doors.
23:49:58–23:50:01  My companion says '怎么了？说吧。'
23:50:02–23:50:12  I watch a vlog video.
23:50:13–23:50:18  I look up at the lobby.
23:50:18–23:50:21  I approach the escalator.
23:50:22–23:50:24  I board the escalator.
23:50:25–23:50:29  I say '罪恶之源，来这儿。'
23:50:30–23:50:35  I watch the escalator steps.
23:50:36–23:50:47  I rest my hand on the handrail.
