19:37:23–19:37:27  I adjust the chair.
19:42:53–19:43:10  I read linear algebra review questions.
19:43:11–19:43:13  I scroll down the Claude chat.
19:43:14–19:43:23  I read the SVD reference answers.
19:43:23–19:43:26  I review the linear algebra cheatsheet in Claude.
19:43:26–19:43:28  I read SVD comprehensive test questions in Claude.
19:43:29–19:43:33  I open Apple Notes.
19:43:34–19:43:36  I review the pasted answers in Apple Notes.
19:43:37–19:43:42  I review Economy Size SVD and image compression in Claude.
19:43:43–19:43:47  I read SVD derivation questions in Claude.
19:43:48–19:43:53  I cross-check cheatsheet answers in Apple Notes.
19:43:53–19:43:56  I read SVD practice problems in Apple Notes.
19:43:57–19:44:04  I read SVD computation review questions in Claude.
19:44:05–19:44:07  I check Apple Notes for SVD answers.
19:44:08–19:44:22  I read SVD exercises and subspace definitions in Claude.
19:44:23–19:44:26  I read SVD study notes.
19:44:27–19:44:35  I review left singular vector formulas.
19:44:36–19:44:46  I examine the SVD orthogonality verification formula.
19:44:47–19:44:50  I check the singular value and basis completion formulas.
19:44:51–19:44:53  I review A^T A matrix properties.
19:44:53–19:44:56  I read the SVD calculation review questions on Claude.
19:44:56–19:45:04  I examine the orthonormality verification derivation in question 3.5 on Claude.
19:45:04–19:45:11  I read the orthogonal basis selection rule in question 3.6 on Claude.
19:45:11–19:45:16  I read Part 4 question 4.1 about matrix rank and singular values on Claude.
19:45:17–19:45:22  I review questions 3.6 and 4.1 on the cheatsheet in Claude.
19:45:23–19:45:31  I read SVD practice questions on Claude.
19:45:32–19:45:33  I look at recent chat titles on Claude.
19:45:34–19:45:46  I read SVD derivation questions on Claude.
19:45:47–19:45:52  I read the SVD cheat sheet in Apple Notes.
19:45:53–19:45:54  I close the recent chats overlay.
19:45:54–19:46:04  I read the Linear Algebra review questions in Claude.
19:46:04–19:46:10  I read the Economy Size SVD section and recent chats list.
19:46:10–19:46:14  I say '嗯。'.
19:46:14–19:46:20  I stand up from the bed.
19:46:20–19:46:23  I sit back down at the laptop.
19:46:23–19:46:25  I review the SVD cheatsheet in Apple Notes.
19:46:26–19:46:35  I read the SVD review questions in Claude.
19:46:36–19:46:42  I read the Economy Size SVD questions in Claude.
19:46:43–19:46:47  I click the Notes icon in the Dock.
19:46:48–19:46:49  I check the test questions in Apple Notes.
19:46:50–19:46:52  I focus on the Kernel and Range question in Claude.
19:46:53–19:46:58  I read the SVD cheat sheet.
19:46:58–19:47:01  I say '那是悲哀的。'
19:47:01–19:47:12  I inspect the SVD rank definition and MATLAB commands.
19:47:12–19:47:23  I read the Kernel and Range span questions.
19:47:23–19:47:24  I review SVD questions in Claude AI.
19:47:25–19:47:31  I review SVD cheat sheet answers in Apple Notes.
19:47:32–19:47:35  I read the comprehensive test questions in Apple Notes.
19:47:36–19:47:50  I read the ker(A) and Range(A) questions in Claude AI.
19:47:51–19:47:52  I inspect the Economy Size SVD section in Claude AI.
19:47:53–19:47:55  I flip through my handwritten notes.
19:47:55–19:47:57  I pick up a black pen.
19:47:57–19:48:23  I write annotations on my notes.
19:48:23–19:48:24  I say '嗯'.
19:48:24–19:48:40  I write linear algebra and SVD notes.
19:48:40–19:48:42  I place a black pen.
19:48:42–19:48:45  I read the Claude Part 4 SVD questions.
19:48:45–19:48:52  I read the Claude Part 5 Economy Size SVD questions.
19:48:53–19:49:03  I review the SVD cheatsheet questions on Claude AI.
19:49:04–19:49:13  I scan the Claude AI chat interface.
19:49:14–19:49:20  I place my left hand on the keyboard.
19:49:21–19:49:22  I say '嗯。' while checking Apple Notes.
19:49:23–19:49:26  I review SVD notes in Apple Notes.
19:49:27–19:49:34  I review SVD revision guide in Claude.
19:49:35–19:49:37  I read SVD kernel and range questions in Claude.
19:49:38–19:49:43  I look toward the side table.
19:49:44–19:49:49  I inspect revision sheets on the side table.
19:49:50–19:49:52  I make a thumbs-up gesture and say '开始就行。'.
19:49:53–19:49:59  I inspect study notes.
19:50:00–19:50:15  I read Claude SVD exercises.
19:50:16–19:50:22  I review Apple Notes SVD cheatsheet.
19:50:23–19:50:30  I review SVD study questions on Claude.
19:50:31–19:50:33  I view an SVD lecture slide in Chrome.
19:50:34–19:50:36  I switch to ChatGPT tab.
19:50:37–19:50:47  I type '计算 SVD 的复杂度是 O, 机器计算的话' into ChatGPT.
19:50:48–19:50:52  I send the prompt to ChatGPT.
19:50:53–19:51:03  I read the ChatGPT explanation of SVD matrix computational complexity.
19:51:04–19:51:07  I read the SVD square matrix complexity and LU comparison.
19:51:08–19:51:11  I glance at the macOS Dock.
19:51:12–19:51:16  I review the Householder reduction steps.
19:51:17–19:51:22  I place my hands on the keyboard.
19:51:23–19:51:34  I type a follow-up question about SVD complexity.
19:51:34–19:51:38  I submit the prompt to ChatGPT.
19:51:39–19:51:44  I watch ChatGPT stream the SVD response.
19:51:45–19:51:52  I read the ChatGPT explanation on bidiagonalization.
19:51:53–19:51:56  I read the Householder bidiagonalization explanation for SVD preprocessing.
19:51:57–19:52:02  I scroll down to read the Householder complexity calculation.
19:52:03–19:52:09  I read the Householder total complexity O(mn²).
19:52:10–19:52:18  I scroll down to examine the bidiagonal SVD methods.
19:52:19–19:52:22  I read the QR iteration complexity O(n³) for bidiagonal SVD.
19:52:23–19:52:33  I read SVD complexity breakdown.
19:52:33–19:52:36  I say '我操，真挺复杂的。'
19:52:36–19:52:52  I review SVD exam questions.
19:52:53–19:52:59  I read the SVD norm review questions in Claude.
19:52:59–19:53:03  I look at the laptop keyboard.
19:53:03–19:53:11  I view the Claude review document.
19:53:11–19:53:17  I stand up beside the bed.
19:53:17–19:53:23  I look at the Claude review document.
19:53:23–19:53:27  I read the ChatGPT explanation about SVD.
19:53:28–19:53:32  I look at the bedsheet.
19:53:33–19:53:37  I read the SVD formulas in ChatGPT.
19:53:38–19:53:42  I glance at the laptop corner.
19:53:43–19:53:48  I inspect the revision notes.
19:53:49–19:53:50  I say '哦。'.
19:53:51–19:53:53  I switch to Apple Notes.
19:53:53–19:53:58  I review linear algebra SVD questions.
19:53:59–19:54:00  I read the ChatGPT SVD complexity explanation.
19:54:01–19:54:02  I read Claude notes on SVD norms and Economy Size SVD.
19:54:03–19:54:04  I say "Oh, I see. That's very interesting."
19:54:05–19:54:08  I grab a pen and hold my handwritten notes.
19:54:09–19:54:16  I review handwritten notes on Cholesky decomposition and Representer Theorem.
19:54:17–19:54:23  I examine handwritten notes on matrix norms and kernel methods.
19:54:23–19:54:26  I review handwritten linear algebra notes.
19:54:27–19:54:29  I check Claude SVD revision notes.
19:54:30–19:54:33  I read SVD practice problems in Apple Notes.
19:54:34–19:54:40  I inspect norm formulas in Claude.
19:54:41–19:54:48  I review answer key in Apple Notes.
19:54:49–19:54:49  I say '我操！'
19:54:50–19:54:52  I resume writing linear algebra formulas.
19:54:53–19:55:10  I read handwritten notes on matrix norms and SVD.
19:55:11–19:55:14  I lift my left hand.
19:55:14–19:55:22  I review formulas on the handwritten notes.
19:55:23–19:55:24  I say "嗯。"
19:55:24–19:55:26  I review handwritten SVD formulas.
19:55:27–19:55:30  I read practice exam problems in Apple Notes.
19:55:31–19:55:35  I read SVD matrix norms in Claude.
19:55:36–19:55:39  I check low-rank approximation questions in Apple Notes.
19:55:40–19:55:46  I review spectral norm definitions in Claude.
19:55:47–19:55:52  I read the Best Low-rank Approximation formula in Claude.
19:55:53–19:56:00  I review SVD exam questions on Claude.
19:56:00–19:56:10  I read SVD practice problems in Apple Notes.
19:56:10–19:56:22  I review SVD matrix norm questions on Claude.
19:56:23–19:56:25  I view the Claude SVD notes and glance at the handwritten sheet.
19:56:26–19:56:29  I scan the mattress and pen beside the laptop.
19:56:30–19:56:38  I read the Best Low-rank Approximation formulas in Claude.
19:56:39–19:56:40  I glance at the laptop hinge.
19:56:41–19:56:52  I study the Eckart-Young-Mirsky theorem proof in Claude.
19:56:53–19:57:05  I read linear algebra review questions on Claude.
19:57:05–19:57:19  I read the Part 7 header on Claude.
19:57:19–19:57:23  I check my linear algebra cheat sheet in Apple Notes.
19:57:23–19:57:28  I read the low-rank approximation formulation.
19:57:28–19:57:38  I examine the matrix error bounds.
19:57:38–19:57:41  I check the chat history sidebar.
19:57:41–19:57:49  I re-read the low-rank approximation formula.
19:57:49–19:57:53  I raise my left hand.
19:57:53–19:58:06  I review SVD notes in Apple Notes.
19:58:07–19:58:20  I read Claude's low-rank approximation notes.
19:58:21–19:58:21  I check handwritten notes on paper.
19:58:22–19:58:23  I look back at Claude.
19:58:23–19:58:32  I read the Claude notes on low-rank approximation.
19:58:33–19:58:34  I glance at the handwritten revision sheet.
19:58:35–19:58:45  I study the spectral and Frobenius norm formulas on Claude.
19:58:46–19:58:52  I inspect the chat input and review formulas.
19:58:53–19:59:02  I read low-rank approximation definitions in Claude.
19:59:02–19:59:07  I review SVD approximation error formulas in Claude.
19:59:07–19:59:17  I study question 7.4 in Claude.
19:59:17–19:59:19  I switch to Apple Notes on my laptop.
19:59:19–19:59:23  I read the SVD test problem in Apple Notes.
19:59:53–20:00:01  I review handwritten math notes.
20:00:02–20:00:04  I read notes on matrix norms.
20:00:05–20:00:13  I inspect kernel ridge regression formulas.
20:00:14–20:00:22  I review Aronszajn's theorem notes.
20:00:23–20:00:25  I look toward my laptop.
20:00:25–20:00:32  I read the Claude AI linear algebra notes.
20:00:32–20:00:36  I flip through paper notes.
20:00:36–20:00:41  I hold a pen over my notes.
20:00:41–20:00:53  I read the linear algebra review points.
20:00:53–20:01:02  I read the Claude AI explanation on low-rank matrix approximation.
20:01:02–20:01:09  I rest my left hand on the laptop keyboard.
20:01:09–20:01:14  I say '一直是一点。'
20:01:14–20:01:23  I read the Claude summary on matrix approximation.
20:01:23–20:01:26  I look at my laptop screen.
20:01:27–20:01:37  I read the mathematical explanation on matrix approximations.
20:01:38–20:01:39  I read the Eckart-Young-Mirsky theorem and SVD formula.
20:01:40–20:01:44  I rub my hands.
20:01:45–20:01:47  I look at the chat interface and input box.
20:01:48–20:01:52  I say '嗯。'
20:02:23–20:02:24  I read the Eckart-Young-Mirsky theorem introduction.
20:02:25–20:02:26  I look toward the left edge of the laptop.
20:02:27–20:02:33  I read the Eckart-Young-Mirsky proof outline.
20:02:34–20:02:34  I glance at the top-right display corner.
20:02:35–20:02:50  I read the range compression and matrix completion proof steps.
20:02:51–20:02:52  I review the Matrix Completion text.
20:02:53–20:03:00  I read the AI chat response.
20:03:01–20:03:05  I glance toward the bed sheet and sidebar.
20:03:06–20:03:11  I read the task details on the laptop.
20:03:12–20:03:18  I place my left hand on the laptop keyboard.
20:03:19–20:03:20  I give a thumbs-up gesture.
20:03:21–20:03:22  I look at the laptop screen sidebar.
20:03:23–20:03:26  I look at the document headings.
20:03:26–20:03:33  I read the document body text.
20:03:33–20:03:36  I glance at the sidebar.
20:03:36–20:03:45  I look at the jacket and screen.
20:03:46–20:03:52  I rest my left hand on the laptop keyboard.
20:03:53–20:04:08  I read the Eckart-Young-Mirsky theorem and matrix completion notes.
20:04:09–20:04:12  I look at the window.
20:04:13–20:04:23  I read the matrix completion derivations.
20:04:23–20:04:40  I read the Eckart-Young-Mirsky theorem and image compression notes.
20:04:41–20:04:44  I look toward the laptop keyboard and trackpad.
20:04:45–20:04:49  I read the Matrix Completion explanation.
20:04:50–20:04:52  I scroll down the notes on the trackpad.
20:04:53–20:05:20  I read the AI explanation about Mask-Completion.
20:05:20–20:05:23  I scroll down the AI chat response.
20:05:23–20:05:53  I read the AI chat explanation about SVD and low-rank matrix approximation.
20:05:53–20:06:21  I read the SVD linear algebra problem.
20:06:21–20:06:23  I place my hand on the trackpad.
20:06:23–20:06:26  I review SVD notes in an AI chat.
20:06:27–20:06:28  I review computational complexity formulas in a browser tab.
20:06:29–20:06:32  I navigate Kernel Ridge Regression lecture slides.
20:06:33–20:06:35  I toggle between the complexity analysis tab and lecture slides.
20:06:36–20:06:47  I click through SVD and numerical methods lecture slides.
20:06:48–20:06:52  I activate Mission Control and open Finder windows.
20:06:53–20:07:02  I browse folders in Finder.
20:07:02–20:07:04  I open a study questions document.
20:07:04–20:07:08  I switch to a white document view.
20:07:08–20:07:23  I look at the open document window.
20:07:23–20:07:49  I look at the laptop on the bed.
20:07:49–20:07:53  I step back from the bed.
20:07:53–20:08:11  I view linear algebra review topics.
20:08:12–20:08:19  I read handwritten linear algebra notes.
20:08:20–20:08:22  I touch the MacBook trackpad.
20:08:23–20:08:33  I scroll through lecture slides.
20:08:34–20:08:36  I view a formula pop-up overlay.
20:08:36–20:08:44  I scroll through Example slides.
20:08:45–20:08:49  I pick up a pen.
20:08:50–20:08:53  I review handwritten math notes.
20:08:53–20:08:57  I write linear algebra notes.
20:08:58–20:09:03  I turn to my laptop.
20:09:04–20:09:05  I say '不是，哪有这个玩意儿！我操。'
20:09:06–20:09:13  I review my handwritten notes.
20:09:14–20:09:16  I position my hand on the laptop trackpad.
20:09:17–20:09:22  I view linear algebra review questions on my laptop.
20:09:23–20:09:30  I view an online meeting.
20:09:30–20:09:35  A participant says '别骂了，其实。我鸡碎。'
20:09:35–20:09:42  I watch the meeting window.
20:09:43–20:09:46  I raise my left hand.
20:09:47–20:09:52  I place both hands on the keyboard.
20:09:53–20:09:57  I view a document window.
20:09:58–20:09:59  I view lecture slides.
20:10:00–20:10:11  I type a matrix complexity query in ChatGPT.
20:10:12–20:10:19  I press Return.
20:10:20–20:10:22  I examine my handwritten notes.
20:10:23–20:10:25  I sit before my MacBook.
20:10:25–20:10:29  I adjust the USB connector.
20:10:30–20:10:44  I scroll down the Jacobi method derivation.
20:10:44–20:10:48  I say '啥玩意儿？'.
20:10:48–20:10:52  I read the Gauss-Seidel Method section.
20:10:53–20:10:56  I read the Gauss-Seidel method explanation.
20:10:57–20:11:01  I scroll down to the sparse matrix section.
20:11:02–20:11:09  I read the sparse matrix complexity analysis.
20:11:10–20:11:11  I say '嗯。'
20:11:12–20:11:14  I scroll to the comparison table and back up.
20:11:15–20:11:22  I review the Gauss-Seidel iteration formula.
20:11:23–20:11:31  I read the Jacobi and Gauss-Seidel computational complexity notes.
20:11:32–20:11:39  I scroll through a linear algebra review question slide.
20:11:40–20:11:41  I open a macOS Finder file dialog.
20:11:42–20:11:52  I view a University X lecture slide PDF.
20:11:53–20:12:21  I look toward my MacBook on the bed.
20:12:21–20:12:23  I say '嗯。'
20:12:23–20:12:42  I look at my laptop.
20:12:42–20:12:48  I lift my hand.
20:12:48–20:12:53  I raise my right hand.
20:12:53–20:13:03  I look at my laptop.
20:13:04–20:13:07  I make a snapping gesture.
20:13:08–20:13:11  I rub my fingertips near the camera.
20:13:12–20:13:23  I lower my hand.
20:13:23–20:13:36  I look at the laptop on the bed.
20:13:37–20:13:41  I rest my arms on my knee.
20:13:42–20:13:46  I glance at the study notes on the desk.
20:13:47–20:13:53  I look back at the laptop.
20:13:54–20:14:06  I look at the laptop.
20:14:07–20:14:13  I raise my right hand.
20:14:14–20:14:24  I monitor the laptop.
20:14:24–20:14:36  I look at my laptop.
20:14:36–20:14:41  I say '快递员给的CD，一堆老的唱片。'
20:14:41–20:14:48  I place my hand on the trackpad.
20:14:48–20:14:54  I rest my hand on the bedsheet.
20:14:54–20:14:56  I rest my feet in front of my laptop.
20:14:56–20:15:08  I look at my laptop.
20:15:08–20:15:18  I rest my right hand on the laptop trackpad.
20:15:18–20:15:20  I reach toward the papers on the bedside table.
20:15:20–20:15:24  I sort through the handwritten notes, saying '好乱啊！这几张纸，我操！这真的好乱。'
20:15:24–20:15:34  I review handwritten notes on paper.
20:15:34–20:15:38  I place the paper notes on the bedside table.
20:15:38–20:15:45  I gesture and snap fingers.
20:15:45–20:15:53  I rest my hand on the laptop.
20:15:54–20:15:56  I sit facing the laptop.
20:15:56–20:16:06  I give a thumbs-up gesture.
20:16:07–20:16:17  I make a finger-heart sign.
20:16:18–20:16:24  I rest my right hand.
20:16:24–20:16:47  I look toward my laptop.
20:16:48–20:16:51  I write formulas in the notebook.
20:16:52–20:16:53  I look back at the laptop.
20:16:54–20:16:59  I write math notes.
20:16:59–20:17:02  I write an equation.
20:17:02–20:17:13  I read the laptop document.
20:17:13–20:17:15  I write additional steps.
20:17:15–20:17:17  I check the laptop screen.
20:17:17–20:17:18  I add a formula.
20:17:18–20:17:24  I study the laptop document.
20:17:24–20:17:32  I look at my laptop.
20:17:33–20:17:37  I prepare to write.
20:17:38–20:17:40  I write math formulas.
20:17:41–20:17:43  I look back at the bed.
20:17:44–20:17:45  I review the notebook.
20:17:46–20:17:53  I look at the laptop.
20:17:54–20:17:57  I write math formulas in my notebook.
20:17:57–20:17:58  I look at the laptop.
20:17:58–20:18:00  I write in the notebook.
20:18:00–20:18:05  I view the laptop screen.
20:18:05–20:18:07  I write notes in the notepad.
20:18:07–20:18:11  I look at the laptop.
20:18:11–20:18:17  I write a grid table and formulas in the notebook.
20:18:17–20:18:24  I say '哒哒哒。'
20:18:24–20:18:29  I write math equations on the lined notepad.
20:18:29–20:18:34  I look at the laptop on my bed.
20:18:34–20:18:42  I write matrix expressions on the lined notepad.
20:18:42–20:18:44  I look toward the laptop.
20:18:44–20:18:53  I write math calculations on the notepad.
20:18:54–20:18:56  I hold a pen over a notepad.
20:18:56–20:18:58  I say '哎。'.
20:18:58–20:19:08  I write matrix equations on the notepad.
20:19:08–20:19:16  I write eigenvector expressions on the notepad.
20:19:16–20:19:23  I write an eigenvector equation on the notepad.
20:19:24–20:19:50  I write math notes on lined paper.
20:19:50–20:19:54  I look up towards the laptop on the bed.
20:19:54–20:19:55  I look at the MacBook.
20:19:55–20:20:07  I write mathematical matrix equations.
20:20:07–20:20:11  I say '哒哒哒，嗯哒哒哒哒哒哒哒哒哒。'
20:20:11–20:20:16  I adjust smart glasses.
20:20:16–20:20:24  I examine handwritten matrix equations.
20:20:24–20:20:42  I review my handwritten linear algebra notes.
20:20:42–20:20:46  I place the black pen on the bed.
20:20:46–20:20:52  I type on the MacBook keyboard.
20:20:52–20:20:54  I type into the dark-mode web chat interface.
20:20:54–20:20:58  I type a query into ChatGPT.
20:20:58–20:21:04  I wait for ChatGPT to respond.
20:21:04–20:21:18  I monitor ChatGPT streaming output.
20:21:18–20:21:24  I read the PCA derivation on ChatGPT.
20:21:24–20:21:27  I read ChatGPT notes on PCA.
20:21:27–20:21:28  I say '嗯'.
20:21:28–20:21:37  I scroll through the derivation on ChatGPT.
20:21:37–20:21:39  I raise my right hand.
20:21:39–20:21:54  I read the matrix equations.
20:21:54–20:22:02  I read ChatGPT notes on principal components.
20:22:03–20:22:11  I rest my hand on the bed.
20:22:12–20:22:17  I scroll to Power Iteration for X^T X on ChatGPT.
20:22:18–20:22:23  I scroll through power iteration calculations on ChatGPT.
20:22:24–20:22:37  I read the ChatGPT explanation on Power iteration.
20:22:37–20:22:43  I scroll through the Power iteration summary.
20:22:43–20:22:46  I open the file dialog window.
20:22:46–20:22:50  I switch to a University X PDF tab.
20:22:50–20:22:54  I look at my handwritten notes.
20:22:54–20:22:57  I position my pen on the notebook.
20:22:57–20:23:07  I write notes on the notebook.
20:23:07–20:23:24  I review my handwritten notes.
20:23:24–20:23:30  I study handwritten linear algebra notes.
20:23:31–20:23:36  I look at the window air conditioner.
20:23:37–20:23:46  I write notes on the lined notepad.
20:23:47–20:23:50  I review the handwritten matrices and formulas.
20:23:51–20:23:53  I look toward the laptop on the bed.
20:23:54–20:24:00  I pause over my notepad.
20:24:01–20:24:10  I write '(1) SVD:'.
20:24:11–20:24:19  I write the SVD formula.
20:24:20–20:24:23  I write the determinant expression.
20:24:24–20:24:38  I expand $(1-\lambda)^2 - \frac{1}{4} = 0$ on the notepad.
20:24:38–20:24:54  I write the quadratic formula solution on the notepad.
20:24:54–20:25:05  I write math derivations on paper.
20:25:05–20:25:08  I pause writing to review calculations.
20:25:08–20:25:13  I say '唉。'
20:25:13–20:25:18  I look toward the laptop.
20:25:18–20:25:20  I place the pen on paper.
20:25:20–20:25:24  I pick up a charging cable connector.
20:25:24–20:25:46  I hold a charging cable.
20:25:46–20:25:48  I look toward the right desk area.
20:25:48–20:25:53  I pick up an Adidas Victory League cologne bottle.
20:25:54–20:25:58  I uncap an Adidas cologne bottle.
20:25:58–20:26:02  I spray cologne into the overhead air.
20:26:02–20:26:07  I sit down facing my desk.
20:26:07–20:26:13  I hold the Adidas cologne bottle.
20:26:13–20:26:19  I spray cologne toward the doorway.
20:26:19–20:26:24  I lower the cologne bottle to my lap.
20:26:24–20:26:27  I hold a glass perfume bottle.
20:26:27–20:26:35  I examine the perfume bottle nozzle.
20:26:35–20:26:44  I rotate the perfume bottle.
20:26:44–20:26:51  I adjust my grip on the perfume bottle.
20:26:51–20:26:54  I hold the perfume bottle upright.
20:26:54–20:26:58  I remove the cologne bottle cap.
20:26:58–20:27:05  I inspect the cologne bottle.
20:27:05–20:27:08  I glance at my desk.
20:27:08–20:27:11  I read the Adidas Victory League bottle label.
20:27:11–20:27:16  I spray cologne onto my chest and neck.
20:27:16–20:27:21  I recap the cologne bottle.
20:27:21–20:27:24  I place the cologne bottle on the desk.
20:27:24–20:27:26  I pick up an Adidas Victory League cologne bottle.
20:27:26–20:27:31  I unscrew the cap of the Adidas cologne bottle.
20:27:31–20:27:36  I remove the cap from the cologne bottle.
20:27:36–20:27:42  I examine the opened Adidas cologne bottle.
20:27:42–20:27:53  I look at the desk while holding the cologne bottle.
20:27:54–20:28:05  I hold an Adidas Victory League cologne bottle.
20:28:06–20:28:08  I place the Adidas Victory League bottle on the desk.
20:28:09–20:28:11  I pick up an earplug and case from the desk.
20:28:12–20:28:23  I handle a yellow foam earplug and clear case.
20:28:24–20:28:34  I roll a yellow foam earplug.
20:28:34–20:28:37  I insert the earplug into my ear.
20:28:37–20:28:51  I look at the items on my desk.
20:28:51–20:28:53  I reach toward the desk.
20:28:54–20:28:56  I say '你看你的电影。'
20:28:56–20:29:01  I walk into the kitchen.
20:29:01–20:29:05  I walk to the bedroom.
20:29:05–20:29:09  I sit down at the desk.
20:29:09–20:29:13  I pick up the pen.
20:29:13–20:29:24  I write math formulas in the notebook.
20:29:24–20:29:27  I review the linear algebra calculations.
20:29:27–20:29:29  I say '哎。'
20:29:29–20:29:35  I read the eigenvalue formulas.
20:29:35–20:29:42  I write 'AV = \lambda V'.
20:29:42–20:29:48  I inspect the written formula.
20:29:48–20:29:53  I write '(A - \lambda_2 I) V = 0'.
20:29:54–20:30:12  I write linear algebra derivations.
20:30:13–20:30:14  I steady the notepad.
20:30:14–20:30:23  I write matrix calculations.
20:30:24–20:30:25  I say '嗯。'
20:30:25–20:30:33  I write the eigenvector equation and vector components for the SVD problem.
20:30:34–20:30:43  I write simplified vector terms and coefficients for the eigenvalue.
20:30:44–20:30:48  I write bracketed matrix-vector equations for the singular value decomposition.
20:30:49–20:30:53  I write the concluding vector equation at the bottom of the notepad.
20:30:54–20:30:59  I review handwritten linear algebra notes.
20:31:00–20:31:03  I look at the laptop on my bed.
20:31:04–20:31:24  I write math derivations on lined paper.
20:31:24–20:31:27  I look at the laptop.
20:31:27–20:31:30  I say '你好，语音助手。'.
20:31:30–20:31:36  I view the laptop.
20:31:36–20:31:50  I write SVD calculations.
20:31:50–20:31:54  I look at the laptop screen.
20:31:54–20:31:55  The voice assistant replies '嗯。'.
20:31:55–20:31:57  I look at my laptop screen.
20:31:57–20:32:00  I write SVD calculations.
20:32:00–20:32:04  I check the laptop screen.
20:32:04–20:32:08  I write singular value equations.
20:32:08–20:32:09  I glance at my laptop screen.
20:32:09–20:32:19  I solve SVD equations.
20:32:19–20:32:22  I look at the laptop screen.
20:32:22–20:32:24  I write singular vector derivations.
20:32:24–20:32:25  I look at my laptop.
20:32:25–20:32:28  I write linear algebra equations on the notepad.
20:32:28–20:32:31  I look at my laptop screen.
20:32:31–20:32:33  I write SVD derivations on the notepad.
20:32:33–20:32:34  I glance at my laptop screen.
20:32:34–20:32:35  I write a matrix calculation on the notepad.
20:32:35–20:32:36  I glance at my laptop screen.
20:32:36–20:32:46  I write SVD calculations on the lined paper.
20:32:46–20:32:49  I look at my laptop screen.
20:32:49–20:32:50  I write on the notepad.
20:32:50–20:32:51  I look at my laptop screen.
20:32:51–20:32:53  I write on the notepad.
20:32:53–20:32:54  I look at my laptop screen.
20:32:54–20:33:01  I review the SVD calculations.
20:33:01–20:33:03  I say '嗯。手机。'
20:33:03–20:33:05  I fold back the top sheet of paper.
20:33:05–20:33:24  I write math calculations.
20:33:24–20:33:26  I say '嗯，不是。'
20:33:26–20:33:35  I review the singular value decomposition calculations.
20:33:35–20:33:45  I write vector components on the notepad.
20:33:45–20:33:54  I continue calculating the singular value decomposition solution.
20:33:54–20:34:02  I write linear algebra calculations on lined paper.
20:34:02–20:34:05  I say '嗯。'.
20:34:05–20:34:24  I write matrix calculations on the notebook page.
20:34:24–20:34:34  I review handwritten linear algebra notes.
20:34:34–20:34:40  I examine eigenvalues and singular values.
