19:23:25–19:23:27  I say "走吧，那车。"
19:26:21–19:26:24  My companion says '对不起。'
19:26:25–19:26:27  I look at my companion.
19:26:27–19:26:29  I look at the street and high-rises.
19:26:30–19:26:32  I glance at the guard booth.
19:26:32–19:26:37  I walk along the blue barrier wall.
19:26:38–19:26:40  I glance at my companion and parked vehicles.
19:26:40–19:26:44  I walk along the paved sidewalk.
19:26:45–19:26:48  I observe an approaching pedestrian.
19:26:49–19:26:54  I walk past the blue delivery truck.
19:26:55–19:26:58  My companion says '简直就是神经病！'.
19:26:58–19:27:05  I say '你们有点素质，难得难得不守素质，素质不讲，你干嘛造反？'.
19:27:05–19:27:10  I say '嘿嘿嘿，仗着自己有钱为所欲为？'.
19:27:10–19:27:13  My companion says '我也没多少钱啊！'.
19:27:13–19:27:18  I look at the wooden pallets and bench.
19:27:18–19:27:22  I look at the traffic cones.
19:27:22–19:27:25  I say '你下次惹我生气一次，给我给我一百块钱，不一百。'.
19:27:25–19:27:31  I say '你惹我生气一次，我找你拿一百块钱；你让我掉眼泪一次，我找你拿两百块钱。'
19:27:31–19:27:35  I say '这是对我的精神。'
19:27:35–19:27:42  I say '让我们来看一下User X一个月要倒贴多少钱。'
19:27:42–19:27:49  I say '你今天已经，你今天已经，'
19:27:50–19:27:54  I say '你今天已经掉了四百块钱了。'
19:27:55–19:27:59  My companion asks '四百块钱怎么给我？微信还是支付宝？'.
19:27:59–19:28:05  My companion says '我这边可以收微信，可以收支付宝，可以收现金。'.
19:28:05–19:28:07  My companion exclaims '太坏了！'.
19:28:08–19:28:15  I walk past a construction barricade.
19:28:16–19:28:21  I say '哇，这个花好。'.
19:28:22–19:28:25  I observe a green minibus driving by.
19:28:25–19:28:33  I say '啊，晚上呢，香港真好看呢，六七点这会儿，太美了。'
19:28:34–19:28:38  I say '半年，你帮我问一下，可不可以后两个月我自己转租给别人？'
19:28:39–19:28:44  I walk past oncoming pedestrians with a dog.
19:28:45–19:28:49  I look at the parked delivery truck.
19:28:50–19:28:54  I walk along the tree-lined walkway.
19:28:55–19:28:58  I walk along the walkway.
19:28:58–19:29:00  I look at the dark van.
19:29:00–19:29:03  I look at the concrete wall.
19:29:03–19:29:06  I look at the white box truck.
19:29:06–19:29:10  I view the graffiti and truck.
19:29:10–19:29:12  I say '啊！是。'
19:29:12–19:29:16  I look at the traffic cones.
19:29:16–19:29:21  I observe an approaching pedestrian.
19:29:21–19:29:25  I continue walking forward.
19:29:25–19:29:33  I walk along the roadside.
19:29:34–19:29:37  I say '是啊，那你们老师没钱呗？你问他要啊？'
19:29:38–19:29:40  I say '你问过他吗？'
19:29:41–19:29:44  I say '那就是没钱呗，可能搞语言学最近就是。'
19:29:45–19:29:54  I walk forward along the sidewalk.
19:29:55–19:29:59  I walk down the alley.
19:29:59–19:30:04  I say '我说我那个老师，新来的比较有钱吧？'
19:30:04–19:30:09  I walk past stacked plastic crates.
19:30:09–19:30:12  I say '老教授不会有吗？'
19:30:12–19:30:14  I gaze toward the harbor.
19:30:14–19:30:17  I say '我靠，这几百万。'
19:30:17–19:30:21  I walk toward the illuminated crane.
19:30:21–19:30:25  I say '哦，这个真的好好看。'
19:30:25–19:30:27  I say '那肯定有几百万吧，'
19:30:27–19:30:30  I say '清华都有几百万，'
19:30:30–19:30:35  I say '港大怎么可能没有？'
19:30:35–19:30:45  I say '啊。'
19:30:45–19:30:53  I examine the gate warning signs.
19:30:53–19:30:54  I look at the checkpoint concrete wall.
19:30:55–19:31:01  I observe the twilight horizon.
19:31:01–19:31:04  I watch a white car drive past.
19:31:04–19:31:12  I gaze at the sea horizon.
19:31:12–19:31:18  I inspect the roll-up shutter door.
19:31:18–19:31:25  I examine the emergency access warning signs.
19:31:25–19:31:29  I say '感觉这比较适合拍那种谍战片。'.
19:31:29–19:31:32  I ask '码头是吧？'.
19:31:32–19:31:35  The companion says '太漂亮了，香港。'.
19:31:35–19:31:41  The companion says '这适合拍《爱乐之城》。'.
19:31:41–19:31:46  I look at the twilight sky.
19:31:46–19:31:48  I glance at the streetlight.
19:31:48–19:31:54  I watch my companion saying '哒'.
19:31:55–19:31:58  I say '好热呀，站着就开始出汗了。'
19:31:58–19:32:02  I look at the green canopy tent.
19:32:02–19:32:06  I look at my companion.
19:32:06–19:32:08  I turn toward the promenade.
19:32:08–19:32:12  I say '嘿嘿嘿嘿嘿嘿嘿嘿，猥琐的，弱智的，弱智的丧尸。'
19:32:12–19:32:16  I walk toward the waterfront.
19:32:16–19:32:20  I walk down the promenade.
19:32:20–19:32:24  I look at the informational sign.
19:32:25–19:32:29  I look at the utility structure.
19:32:30–19:32:33  I look at the ladder cage.
19:32:34–19:32:38  I look across the harbour.
19:32:39–19:32:44  My companion says '不戴眼镜稍微好一点。'.
19:32:45–19:32:52  My companion says '啊，不戴去了。没有丝毫犹豫。'.
19:32:53–19:32:55  I take off my glasses.
19:32:55–19:32:56  I say "哦。"
19:32:56–19:32:58  I look at the patterned white shirt.
19:32:59–19:33:04  I look toward the window.
19:33:05–19:33:16  I look at the grey garment.
19:33:17–19:33:24  I examine the grey garment folds.
19:33:25–19:33:28  I ask '可以了没有？'
19:33:28–19:33:34  Companion says '后面那个好好看，脸太大了，挡着脚。'
19:33:34–19:33:48  I pose on the terrace.
19:33:48–19:33:51  Companion says '对，这样好看。'
19:33:51–19:33:53  Companion says '我操，这样好看。'
19:33:53–19:33:55  Companion says '真的好看。'
19:33:55–19:33:57  I say '一会儿再戴吧。'
19:33:57–19:34:01  I place down the smart glasses.
19:34:01–19:34:07  I say '哇，这比刚刚更好看，这个蓝调。'
19:34:07–19:34:16  I say '哎，为什么我转过来它就没有这么蓝了？'
19:34:16–19:34:25  I say '慢儿去。'
19:34:25–19:34:30  I reply '谢谢，太难了。' to my companion.
19:34:30–19:34:35  I listen to my companion saying '对吧？我去睡个懒觉。'
19:34:35–19:34:42  I listen to my companion saying '哎，这样拍也很好看。'
19:34:42–19:34:48  I listen to my companion saying 'User A。别User A了。等你回过头来看一下。'
19:34:48–19:34:54  I listen to my companion saying '别看了。'
19:34:55–19:35:04  I look through the railing gap.
19:35:04–19:35:11  I say '不是你为什么在扣我信息？'
19:35:11–19:35:18  I gaze down toward the shoreline.
19:35:18–19:35:24  I say '还有一条鱼，一条鱼。'
19:35:25–19:35:38  I view the night seascape.
19:35:38–19:35:41  I say '死了。'
19:35:41–19:35:50  I peer through the gap.
