16:04:09–16:04:11  Say "怎么记录一会儿就要自己听？"
16:08:30–16:08:39  I review the maximum likelihood objective equation.
16:08:39–16:08:44  I read the lecture slide on Flow Models training.
16:08:44–16:08:50  I take out a lined notepad from my backpack.
16:08:51–16:08:54  I search my backpack for a pen.
16:08:55–16:08:58  I look at my classmate.
16:08:58–16:09:01  I say '嗯。'.
16:09:01–16:09:05  I adjust my backpack.
16:09:06–16:09:09  I hold a pen over the notepad.
16:09:09–16:09:16  I read the Flow Models training slide.
16:09:17–16:09:18  I say '嗯。'
16:09:19–16:09:38  I write 'p_θ(x)dx = p_z(z)dz' on the notepad.
16:09:39–16:09:47  I write 'p_θ(x) dx = p_z(z) dz' on the notepad.
16:09:47–16:09:51  I position my pen on the notepad.
16:09:51–16:10:00  I write 'Max log p_θ(x)' on the notepad.
16:10:00–16:10:02  I glance at the laptop screen.
16:10:02–16:10:03  I say '嗯。'
16:10:03–16:10:08  I review the handwritten notes.
16:10:09–16:10:10  I say '嗯。'
16:10:10–16:10:22  I review the change-of-variables equation.
16:10:22–16:10:28  I write 'p_θ(x) = p_z(z) |dz/dx|'.
16:10:28–16:10:33  I examine the flow model diagram.
16:10:33–16:10:36  I write '|df_θ/dx|'.
16:10:36–16:10:39  I lift the pen.
16:10:39–16:10:44  I position my pen.
16:10:44–16:10:53  I write 'log p_θ(x) = log p_z(z) + log |∂f/∂x|'.
16:10:53–16:11:00  I write '-Max log p_z(z)'.
16:11:00–16:11:04  I review the derivation.
16:11:04–16:11:08  I write on the notepad.
16:11:09–16:11:19  I review the change-of-variables derivation on my notepad.
16:11:20–16:11:22  I look up toward the classroom.
16:11:23–16:11:26  I read the Flow Models: Examples slide.
16:11:27–16:11:29  I view the Flow Models: Training slide.
16:11:30–16:11:31  I say '嗯。'
16:11:32–16:11:38  I study the handwritten flow model derivation.
16:11:39–16:11:41  I say '嗯。'
16:11:42–16:11:49  I review the flow model notes on the notepad.
16:11:50–16:11:56  I position the pen over the notepad.
16:11:57–16:12:08  I write 'log pθ(x) = log pz(fθ(x)) + log |∂fθ/∂x|' on the notepad.
16:12:09–16:12:15  I review the flow model change-of-variables derivation.
16:12:16–16:12:22  I examine the Flow Models: Training lecture slide.
16:12:23–16:12:28  I compare the handwritten notes with the slide formula.
16:12:29–16:12:38  I review the derivation lines on the paper.
16:12:39–16:12:52  I review handwritten flow model architecture notes.
16:12:53–16:12:58  I examine the handwritten probability equation on the notepad.
16:12:59–16:13:01  I glance at the laptop palm rest.
16:13:02–16:13:08  I review notes near my right hand.
16:13:09–16:13:19  I study the flow models training slide.
16:13:19–16:13:21  I say '嗯。'.
16:13:21–16:13:29  I place my backpack on the adjacent chair desk.
16:13:29–16:13:33  I move the notes off the keyboard.
16:13:33–16:13:37  I review the log-likelihood training objective.
16:13:37–16:13:39  I switch to Claude to read research feedback.
16:13:39–16:13:40  I start a new chat in Ringo.
16:13:41–16:13:46  I type '如何直观理解后两项' into Ringo.
16:13:47–16:13:52  I send '如何直观理解后两项' to Ringo.
16:13:53–16:13:56  I look across the classroom.
16:13:57–16:14:08  I read Ringo's Normalizing Flow explanation.
16:14:09–16:14:14  I read the Claude explanation about the first term of Normalizing Flow.
16:14:14–16:14:20  I read the Claude explanation of the Jacobian determinant term.
16:14:20–16:14:28  I read the Claude explanation of the volume compensation factor.
16:14:28–16:14:32  I scroll through the Claude chat.
16:14:32–16:14:34  I raise my right hand.
16:14:34–16:14:35  I say '嗯。'
16:14:35–16:14:36  I lower my right hand.
16:14:36–16:14:39  I examine the handwritten notes.
16:14:39–16:14:44  I examine the normalizing flow formulas on my notepad.
16:14:44–16:14:57  I write '变换后是否靠近目标分布' on the notepad.
16:14:57–16:15:02  I review the handwritten note '变换后是否靠近目标分布'.
16:15:02–16:15:09  I flip up the notepad page.
16:15:09–16:15:10  I review my handwritten math notes.
16:15:11–16:15:12  I read Claude's explanation of the Jacobian determinant term.
16:15:13–16:15:18  I select the chat with 十三溥 in WeChat.
16:15:19–16:15:19  I read recent messages from 十三溥.
16:15:20–16:15:38  I type '给你推荐俩网课 cs294 cs285 有空可以看看玩玩' to 十三溥.
16:15:39–16:15:46  I prepare to type in WeChat.
16:15:47–16:15:55  I send '我感觉你对这个网课还挺有兴趣的' to 十三溥.
16:15:56–16:16:03  I read the sent message in WeChat.
16:16:04–16:16:08  I browse the WeChat contact list.
16:16:09–16:16:13  I check WeChat chats.
16:16:14–16:16:19  I read EgoLife chat messages.
16:16:20–16:16:24  I read exam and meeting updates.
16:16:25–16:16:27  I switch to Claude.
16:16:28–16:16:33  I read the Claude Normalizing Flow explanation.
16:16:34–16:16:38  I finish reading the Normalizing Flow summary.
16:16:39–16:16:46  I read the Claude AI explanation about Normalizing Flow and Jacobian volume compensation.
16:16:46–16:16:50  I examine handwritten Normalizing Flow derivations on the notepad.
16:16:50–16:17:00  I review the log-likelihood decomposition formula on the notepad.
16:17:00–16:17:08  I write '自身密度' on the notepad.
16:17:09–16:17:13  I write math notes on Normalizing Flows.
16:17:14–16:17:22  I read Claude's Normalizing Flow explanation.
16:17:23–16:17:34  I read the Flow Models training slide.
16:17:35–16:17:38  I read the invertibility requirement note.
16:17:39–16:17:44  I read the lecture slide requirement on invertible and differentiable flow models.
16:17:45–16:17:50  I read the flow model training objective.
16:17:51–16:17:58  I study the Jacobian determinant term in the log-likelihood formula.
16:17:59–16:18:08  I examine the probability density transformation equation.
16:18:09–16:18:13  I read the CS294 Flow Models slide about Stochastic Gradient Descent optimization.
16:18:13–16:18:15  I read the Flow Models slide about invertible function classes and embedding space density.
16:18:16–16:18:17  I notice the WeChat application window opening.
16:18:18–16:18:20  I read messages from 妈 about the bank transfer to Black Horse Technology.
16:18:21–16:18:30  I type on the keyboard.
16:18:31–16:18:38  I read the WeChat chat with 爱科研的图图 regarding the bank transfer confirmation.
16:18:39–16:18:47  I check WeChat messages.
16:18:48–16:18:52  I read slide 12 on Flow Models examples and design choices.
16:18:53–16:18:57  I inspect the likelihood change-of-variables formula on slide 11.
16:18:58–16:19:00  I read the note requiring invertibility and differentiability.
16:19:01–16:19:08  I examine the log-likelihood objective formula and SGD note.
16:19:09–16:19:16  I read slide 11 of the L3 Flow Models lecture slides.
16:19:17–16:19:23  I read slide 12 of the L3 Flow Models lecture slides.
16:19:24–16:19:26  I say '嗯。'
16:19:27–16:19:38  I read the invertible function class examples on slide 12.
16:19:39–16:19:40  I look at my right hand holding a pen.
16:19:41–16:19:46  I read the normalizing flow Gaussian density bullet.
16:19:47–16:19:52  I read the mixture of Gaussians and Uniform density bullets.
16:19:53–16:19:57  I read the 'Embedding space density' header.
16:19:58–16:20:00  I read the 'Invertible function class' header.
16:20:01–16:20:03  I read the 1-D monotonic function description.
16:20:04–16:20:08  I read the invertible function polynomial examples.
16:20:09–16:20:13  I read the slide about invertible function classes.
16:20:14–16:20:15  I glance at the browser toolbar.
16:20:16–16:20:21  I read the slide section on invertible function classes.
16:20:22–16:20:24  I examine the embedding space density section.
16:20:25–16:20:32  I review the invertible function class requirements.
16:20:33–16:20:34  I inspect the normalizing flow objective equation.
16:20:35–16:20:38  I re-read the invertible function class heading.
16:20:39–16:20:49  I read slide 12 of the Flow Models lecture PDF.
16:20:49–16:20:53  I place my hands on the MacBook keyboard.
16:20:53–16:20:56  I switch to Claude and read the Jacobian determinant explanation.
16:20:56–16:20:59  I switch back to the Flow Models lecture slide.
16:20:59–16:21:01  I switch to the YouTube lecture video tab.
16:21:01–16:21:05  I switch back to the Claude chat window.
16:21:05–16:21:09  I type '一般可逆函数' into Claude.
16:21:09–16:21:16  I type '一般可逆函数用哪个好 为什么：'.
16:21:17–16:21:18  I send the invertible function query to Claude.
16:21:19–16:21:20  I say '嗯。'
16:21:21–16:21:26  I read Claude's analysis of affine transformations.
16:21:27–16:21:31  I read Claude's evaluation of polynomials and sigmoid.
16:21:32–16:21:38  I read Claude's analysis of mixture CDFs and flow composition.
16:21:39–16:21:46  I read the invertible function analysis in Claude.
16:21:47–16:21:51  I examine the mixture CDF explanation in Claude.
16:21:52–16:22:01  I review the function limitations in Claude.
16:22:02–16:22:08  I read the composition of flows section in Claude.
16:22:09–16:22:17  I read the Claude explanation about normalizing flow expressiveness and composition.
16:22:18–16:22:19  I view the YouTube video page for 'L3 Flow Models'.
16:22:20–16:22:21  I read the 'Two choices to make:' lecture slide.
16:22:22–16:22:31  I examine the 'Before training' plots on the 'Example: Flow to Gaussian z' slide.
16:22:32–16:22:38  I examine the 'After training' flow mapping plots and labels.
16:22:39–16:22:44  I review the 'Before training' plots on slide 13.
16:22:45–16:22:47  I compare the true and empirical distributions before training.
16:22:48–16:22:53  I examine the 'After training' row on slide 13.
16:22:54–16:23:05  I trace the learned 'Flow x → z' transformation curve.
16:23:06–16:23:08  I scroll to slide 14 titled 'Example: Flow to Uniform z'.
16:23:09–16:23:22  I read the flow models lecture slide.
16:23:23–16:23:27  I look at the CC Switch app on classmate's laptop.
16:23:28–16:23:33  I say '这个这个GPT用的这个也是Code Red Code的钱吗？'
16:23:34–16:23:36  I observe the Tasks & Questionnaires page.
16:23:37–16:23:38  I observe the Google new tab and bookmarks.
16:23:39–16:23:40  I open Right Code.
16:23:40–16:23:50  I read the Codex maintenance notice on Right Code.
16:23:50–16:23:52  I dismiss the notice modal.
16:23:52–16:24:00  I browse drawing models on Right Code.
16:24:00–16:24:09  The companion says '这个呢？五点五，二十二。'
16:24:09–16:24:12  I say '我想要现，我现在想用的五点四。五点四就是一六，偏一半儿。不知道你能不能换成五点五？' to User A.
16:24:12–16:24:14  I point at the gpt-5.4 model row.
16:24:14–16:24:16  User A says '随便换。'
16:24:16–16:24:18  I say '哦，对，昨天那个问题是吧？' to User A.
16:24:18–16:24:26  I read the troubleshooting notes about Screen 2 sentence column binding.
16:24:26–16:24:29  I watch User A open the Right Code dashboard.
16:24:29–16:24:36  I say '昨天只给你充了五十吧？我怎么记得？充了多少钱？你咋就用了两块五？' to User A.
16:24:36–16:24:39  User A says '不记得了。'
16:24:39–16:24:41  I review Right Code while the user asks '昨天用多少钱？去哪儿看？'.
16:24:42–16:24:44  I say '查询往上。搜索。'.
16:24:45–16:24:48  I say '咋用这么少啊？昨天？昨天很多嘞，弄得多。'.
16:24:49–16:24:53  I say '我看看前天是多少钱？好神奇啊！'.
16:24:54–16:25:00  I reach for the mouse while companion says '昨天不是我给你充了钱吗？我自己充了。哦，你自己又充了。对呀。'.
16:25:01–16:25:08  I review balances while companion says '我自己又充了三十还是多少？'.
16:25:09–16:25:12  The companion asks '你的那个五十用到十几了？'.
16:25:12–16:25:15  I say '哦，用到二十二十多了。'.
16:25:15–16:25:18  The companion says '二十块钱，这还正常一点。'.
16:25:18–16:25:23  I say '你以为你充那个五十还没用完？'.
16:25:23–16:25:27  The companion says '就是嘛，不科学。'.
16:25:27–16:25:32  I watch my companion typing.
16:25:33–16:25:39  I examine the flow models lecture slide.
16:25:39–16:25:50  I review the Flow to Beta(5,5) example slide.
16:25:51–16:25:55  I scroll to the 1-D Flow Models Summary slide.
16:25:56–16:26:00  I read the flow model training objective formula.
16:26:00–16:26:08  I read the inference and sampling procedures.
16:26:09–16:26:15  I study the 1-D Flow Models lecture slide.
16:26:15–16:26:19  I examine the Jacobian determinant formula.
16:26:19–16:26:23  I look around the classroom.
16:26:23–16:26:27  I read the slide header and inference note.
16:26:27–16:26:34  I review the Jacobian term and embedding mapping.
16:26:34–16:26:39  I track the mapping curve and re-read the Jacobian term.
16:26:39–16:26:44  I read the 1-D Flow Models slide formulas.
16:26:45–16:26:56  I examine the training objective formula.
16:26:57–16:27:03  I inspect the flow model mapping diagram.
16:27:04–16:27:05  I place my left hand on the keyboard.
16:27:06–16:27:09  I position both hands over the keyboard.
16:27:09–16:27:13  I review the Claude chat about Normalizing Flows.
16:27:14–16:27:18  I read the Claude chat explanation and sidebar.
16:27:19–16:27:20  I glance toward the whiteboard.
16:27:21–16:27:29  I read the Claude explanation of flow model inference and anomaly detection.
16:27:30–16:27:33  I read the comparison between inference and sampling in Claude.
16:27:34–16:27:38  I examine the '1-D Flow Models Summary' slide in the PDF viewer.
16:27:39–16:27:47  I read slide 17 about CDF special cases.
16:27:48–16:27:54  I view the CDF refresher slide.
16:27:55–16:27:56  I scroll back to slide 17.
16:27:57–16:28:01  I study the CDF graph on slide 18.
16:28:02–16:28:03  I look toward the left neighboring desk.
16:28:04–16:28:08  I look back at slide 18.
16:28:09–16:28:21  I study the Cumulative Density Function refresher slide.
16:28:22–16:28:24  I raise my left hand in gesture.
16:28:25–16:28:28  I review the CDF plot.
16:28:29–16:28:38  I read slide 17 about CDF special cases.
16:28:39–16:28:45  I read the slide about CDF and uniform distribution flow models.
16:28:46–16:28:48  I switch to Claude.
16:28:49–16:28:50  I view the Claude chat history sidebar.
16:28:51–16:28:55  I type 'Explain aside special case of a CDF and p(z) U[0,1]' in Claude.
16:28:56–16:28:56  I send the prompt to Claude.
16:28:57–16:28:57  I say '对。'
16:28:58–16:29:00  I monitor Claude creating the chat 'CDF与均匀分布的特殊情况'.
16:29:01–16:29:08  I read Claude's explanation of Probability Integral Transform.
16:29:09–16:29:16  I read Claude's explanation on the Probability Integral Transform.
16:29:17–16:29:21  I read the application points in Claude's explanation.
16:29:22–16:29:23  I switch to the Flow Models lecture slide PDF.
16:29:24–16:29:38  I study the inverse CDF sampling formulas on slide 19.
16:29:39–16:29:49  I read the 'Sampling via inverse CDF' lecture slide.
16:29:50–16:30:08  I monitor the inverse CDF slide.
16:30:09–16:30:12  I read the sampling formula and CDF integral on the slide.
16:30:12–16:30:15  I examine the CDF integral formula.
16:30:15–16:30:18  I read the slide text about the CDF invertible and differentiable map.
16:30:18–16:30:24  I review the sampling procedure steps on the slide.
16:30:24–16:30:27  I look toward the classroom whiteboard.
16:30:27–16:30:31  I examine the CDF curve plot.
16:30:31–16:30:36  I look at the Claude Dock icon.
16:30:36–16:30:39  I look at the sampling equations on the slide.
16:30:39–16:30:46  I review the Claude conversation about Inverse Transform Sampling.
16:30:46–16:30:50  I read the Claude explanation of continuous random variables and Copula theory.
16:30:51–16:30:54  I review the lecture slide on inverse CDF sampling.
16:30:54–16:30:56  I gesture above the keyboard.
16:30:56–16:31:00  I watch the classmate holding her phone.
16:31:00–16:31:03  I say '嗯。'.
16:31:03–16:31:09  I read the inverse CDF sampling formula and curve.
16:31:09–16:31:15  I read the 'Sampling via inverse CDF' lecture slide.
16:31:16–16:31:23  I look at the whiteboard.
16:31:24–16:31:26  I switch applications on my laptop.
16:31:27–16:31:38  I type in Claude about Inverse Transform Sampling.
16:31:39–16:31:48  I type '给定任意 pdf，正变换就是'.
16:31:48–16:31:57  I type '积分到x'.
16:31:57–16:32:05  I edit the prompt to '给定任意 pdf，正变换就是z 从负无穷积分到x'.
16:32:05–16:32:09  I type 'fan bianhuan'.
16:32:09–16:32:11  I submit a prompt about CDF transform and binary search.
16:32:12–16:32:19  I manipulate a small object.
16:32:20–16:32:25  I position my hands on the keyboard.
16:32:26–16:32:38  I read Claude's explanation on forward/inverse CDF transforms and binary search.
16:32:39–16:32:51  I read Claude's explanation on CDF transforms.
16:32:52–16:32:53  I view the 'Sampling via inverse CDF' slide.
16:32:53–16:33:09  I read the CDF Flows lecture slide.
16:33:09–16:33:11  I read the CDF Flows lecture slide title.
16:33:11–16:33:20  I examine the log Jacobian term and uniform prior annotation.
16:33:20–16:33:31  I review the maximum likelihood objective formula.
16:33:31–16:33:34  I scroll down to the 'How general are flows?' slide.
16:33:34–16:33:36  I scroll back to the CDF Flows slide.
16:33:36–16:33:37  I look at the browser toolbar.
16:33:37–16:33:39  I raise my left hand in a pinch gesture.
16:33:39–16:33:47  I study the log-likelihood formula on the lecture slide.
16:33:48–16:33:53  I review the heading and derivative term on the slide.
16:33:54–16:33:58  I bring the Claude window to the foreground.
16:33:59–16:34:08  I type '特殊情况等价最大化样本' into Claude.
16:34:09–16:34:21  I type '特殊情况等价最大化样本的pdf吗，举例解释' into Claude.
16:34:22–16:34:24  I inspect the uploaded reference slide in Claude.
16:34:25–16:34:38  I read Claude's explanation of normalizing flow MLE simplification.
16:34:39–16:34:48  I read the Claude explanation about Normalizing Flow simplifying to MLE under CDF transformation.
16:34:49–16:35:03  I read the example comparing MLE and Flow perspectives.
16:35:04–16:35:08  I read the formula equating the flow objective to Gaussian log likelihood.
16:35:09–16:35:16  I read Claude's explanation about normalizing flow and MLE.
16:35:17–16:35:17  I view the CDF Flows lecture slide.
16:35:18–16:35:21  I read the slide asking 'How general are flows?'.
16:35:22–16:35:30  I examine the slide on CDF flow generality.
16:35:31–16:35:35  I review the 1D flow model recap slide.
16:35:36–16:35:36  I look at the lecture outline slide.
16:35:37–16:35:38  I read the 2-D Autoregressive Flow slide.
16:35:39–16:35:43  I examine the 2-D Autoregressive Flow slide.
16:35:43–16:35:46  I glance at the browser tab bar.
16:35:46–16:35:50  I review the autoregressive flow equations.
16:35:50–16:35:58  I read the slide note about dependence on x1.
16:35:58–16:36:00  I say '嗯。'
16:36:00–16:36:02  I look at the classroom chairs.
16:36:02–16:36:05  I glance at my notepad and hand.
16:36:05–16:36:08  I look at the whiteboard wall.
16:36:08–16:36:09  I look back at the laptop screen.
16:36:09–16:36:16  I read the forward equation 'x1 -> z1 = f_theta1(x1)'.
16:36:16–16:36:24  I read the note on x1 dependence in f_theta2.
16:36:24–16:36:29  I read the slide title '2-D Autoregressive Flow'.
16:36:29–16:36:33  I examine the inverse transformation equations.
16:36:33–16:36:39  I review the inversion rationale 'x1 is also given when inverting from z2 to x2'.
16:36:39–16:36:42  I study the inverse mapping equations for 2-D Autoregressive Flow.
16:36:43–16:36:48  I read the note on f_theta2 dependence and invertibility.
16:36:49–16:36:51  I read the explanation for why x1 is given during inversion.
16:36:52–16:36:57  I examine the forward equations x1 -> z1 and x2 -> z2.
16:36:58–16:37:03  I re-read the note about x1 dependence in f_theta2.
16:37:04–16:37:08  I review the inverse transformation formulas on the slide.
16:37:09–16:37:14  I review the 2-D Autoregressive Flow slide.
16:37:15–16:37:16  I prepare to write on my notepad.
16:37:17–16:37:31  I write notes on flow models.
16:37:32–16:37:34  I say '啊'.
16:37:35–16:37:38  I inspect my notes.
16:37:39–16:37:49  I review the handwritten notes.
16:37:49–16:37:53  I say '嗯。'
16:37:53–16:37:56  I glance at my lap.
16:37:56–16:37:58  I glance toward my classmate's laptop.
16:37:59–16:38:08  I study the handwritten derivation.
16:38:09–16:38:20  I write 'Max_θ log P_θ(x)' on the notepad.
16:38:20–16:38:25  I glance toward my trackpad and neighbor.
16:38:25–16:38:30  I glance toward the right wall.
16:38:30–16:38:38  I examine the diagram on my notepad.
16:38:39–16:38:45  I review my handwritten derivation.
16:38:46–16:38:55  I write 'x1 -> z1' on the notepad.
16:38:56–16:39:08  I sketch conditioning arrows on the flow diagram.
16:39:09–16:39:13  I sketch a diagram on the notepad.
16:39:14–16:39:23  I read the '2-D Autoregressive Flow' slide.
16:39:24–16:39:26  I check the notepad equations.
16:39:27–16:39:35  I examine the autoregressive flow equations.
16:39:36–16:39:37  I glance at my notepad.
16:39:38–16:39:39  I focus on the top slide equation.
16:39:39–16:39:42  I read the 2-D Autoregressive Flow slide.
16:39:42–16:39:54  I review my handwritten notes.
16:39:54–16:39:56  I raise my arm.
16:39:56–16:40:02  I write notes on the notebook.
16:40:02–16:40:08  I read the invertibility explanation on the slide.
16:40:39–16:40:43  I type '注释什么意思' into Claude.
16:40:44–16:40:50  I send '注释什么意思' to Claude.
16:40:51–16:40:59  I read Claude's explanation about autoregressive flow invertibility.
16:41:00–16:41:06  I review my handwritten notes.
16:41:07–16:41:09  I trace autoregressive dependency steps in my notebook.
16:41:09–16:41:17  I read handwritten normalizing flow notes.
16:41:18–16:41:25  I read the Claude explanation about autoregressive normalizing flow invertibility.
16:41:26–16:41:35  I stretch my left arm.
16:41:36–16:41:38  I hold the notebook page.
16:41:39–16:41:43  I review my handwritten notes.
16:41:43–16:41:51  I write notes on the notepad.
16:41:51–16:41:57  I check the written annotation.
16:41:57–16:42:03  I review the flow derivation.
16:42:03–16:42:08  I examine the log-likelihood formula.
16:42:09–16:42:23  I review handwritten normalizing flow notes.
16:42:24–16:42:33  I read Claude's explanation on autoregressive flow invertibility.
16:42:34–16:42:38  I study the Berkeley lecture slide on 2-D autoregressive flow.
16:42:39–16:42:44  I study the flow model equations on slide 27.
16:42:45–16:42:49  I examine the neural network block in the diagram.
16:42:50–16:42:59  I inspect the second MoG CDF block connections.
16:43:00–16:43:03  I say '什么样子？不知道。'
16:43:04–16:43:08  I review the handwritten density formulas on paper.
16:43:09–16:43:13  I review the flow model formulas.
16:43:13–16:43:28  I draw block diagrams on the notepad.
16:43:29–16:43:38  I hold my pen over the paper diagram.
16:43:39–16:43:43  I examine the handwritten normalizing flow architecture diagram and mathematical notes.
16:43:44–16:43:50  I review the handwritten transformation equations and block diagram.
16:43:51–16:43:56  I study the lower blocks of the flow architecture diagram.
16:43:57–16:44:06  I trace the autoregressive transformation steps on the diagram.
16:44:07–16:44:08  I check the lecture slide diagram for x2 → z2 = f_θ2(x1, x2).
16:44:09–16:44:11  I say '嗯。'
16:44:11–16:44:18  I inspect the autoregressive flow diagram.
16:44:18–16:44:27  I hold a pen over my notebook while studying the slide diagram.
16:44:27–16:44:28  I click the Claude app icon in the dock.
16:44:28–16:44:34  I read the Claude explanation about normalizing flow invertibility.
16:44:34–16:44:38  I review the Claude Overview dashboard and activity heatmap.
16:44:39–16:44:44  I examine the AI model selection options.
16:44:45–16:44:50  I inspect the effort slider setting.
16:44:51–16:44:54  I reopen the model selection menu.
16:44:55–16:45:07  I view the prompt input field.
16:45:08–16:45:09  I view the sidebar session list.
16:45:09–16:45:11  I look at the Claude chat window.
16:45:11–16:45:22  I read the Claude explanation of autoregressive MoG CDF flow.
16:45:23–16:45:33  I view the MoG CDF flow diagram slide.
16:45:34–16:45:36  Someone says '现在九十六。'
16:45:36–16:45:38  I examine the θ1 parameter node on the slide.
16:45:39–16:45:49  I examine the MoG CDF transformation formula and diagram.
16:45:50–16:45:58  I trace the conditional neural network flow diagram.
16:45:59–16:46:08  I read the Claude AI explanation of the autoregressive MoG CDF.
16:46:09–16:46:17  I read the Claude explanation about 2-D autoregressive MoG CDF flow.
16:46:18–16:46:27  I examine the handwritten flow architecture diagram on slide 27.
16:46:28–16:46:38  I read the Training Objective formula on slide 28.
16:46:39–16:46:44  I study the Training Objective slide.
16:46:44–16:46:48  I flip pages on my notepad.
16:46:48–16:46:49  I say '嗯。'
16:46:49–16:46:55  I examine handwritten derivations on the notepad.
16:46:55–16:47:04  I write derivations on the notepad.
16:47:04–16:47:08  I review the written notes.
16:47:09–16:47:15  I examine handwritten 2D flow transformation notes.
16:47:15–16:47:22  I read the change-of-variables log-density equation.
16:47:23–16:47:33  I study the autoregressive flow diagram and formulas.
16:47:34–16:47:38  I review the change-of-variables equation.
16:47:39–16:47:44  I read handwritten flow model notes.
16:47:44–16:48:02  I write formulas on the notepad.
16:48:02–16:48:04  I say '啊！'.
16:48:04–16:48:08  I study the slide on my laptop.
16:48:09–16:48:12  I look at the keyboard.
16:48:13–16:48:20  I fidget with my left fingers.
16:48:21–16:48:22  I say '继续加速。'
16:48:23–16:48:29  I read the flow model derivations.
16:48:30–16:48:38  I examine the coupling layer diagrams.
16:48:39–16:48:41  I place a pen on the notebook.
16:48:41–16:48:43  I say '嗯。'
16:48:43–16:49:06  I read handwritten notes.
16:49:06–16:49:09  I pick up a pen.
16:49:09–16:49:21  I read normalizing flows notes.
16:49:22–16:49:24  I position a pen over the notepad.
16:49:25–16:49:33  I annotate the handwritten diagram.
16:49:34–16:49:38  I examine the annotated notes.
16:49:39–16:50:06  I review handwritten flow model notes.
16:50:06–16:50:08  I say '怎么这么不顺？'.
16:50:09–16:50:11  I look at the Training Objective slide.
16:50:12–16:50:16  I review my handwritten notes.
16:50:17–16:50:21  I examine notes on my notepad.
16:50:22–16:50:26  I place my pen on the notepad.
16:50:27–16:50:31  I look at my classmate's laptop screen.
16:50:32–16:50:36  I watch my classmate navigate her webpage.
16:50:37–16:50:38  I read the Training Objective slide.
16:50:39–16:50:47  I read the flow model training objective equations.
16:50:48–16:50:48  I view the Two Moons flow architecture slide.
16:50:49–16:50:57  I re-examine the training objective equations.
16:50:58–16:51:03  I read the Two Moons architecture details.
16:51:04–16:51:08  I inspect the base distribution bullets and Two Moons scatter plot.
16:51:09–16:51:12  I examine the 2-D Autoregressive Flow slide title and two-moons scatter plot.
16:51:12–16:51:17  I inspect the density heatmaps and transformation plots.
16:51:17–16:51:24  I read the architecture definition for x1 as a mixture of 5 Gaussians.
16:51:24–16:51:32  I review the z1 CDF formulation and intermediate transformation plots.
16:51:32–16:51:38  I read the conditional mixture of Gaussians formulation for x2.
16:51:39–16:51:42  I inspect the flow transformation plots.
16:51:42–16:51:48  I read the Mo5G architecture bullet points.
16:51:48–16:51:52  I inspect the intermediate latent distribution plots.
16:51:53–16:52:02  I study the conditional flow density heatmaps.
16:52:03–16:52:08  I inspect the two-moons target distribution and learned density heatmap.
16:52:09–16:52:16  I examine the flow model transformation plots.
16:52:16–16:52:20  I inspect the scatter plot and density plot.
16:52:20–16:52:22  I say 'Can't wait to do something.'
