22:46:25–22:46:30  I say '我要打视频会议骚扰。'
23:00:47–23:00:51  I say 'This place is pretty beautiful.'
23:00:52–23:00:54  I approach the outdoor escalators.
23:00:55–23:00:58  I ask '可以去看一眼，你蹦过不？有意思不？啥时候去的？'.
23:00:58–23:01:04  My companion says '我前男友带我去的。我去的那一场，他们那一桌开了全场最高规格。'.
23:01:04–23:01:08  I say '哦。有点熟吗？'.
23:01:08–23:01:13  My companion says '对，有有有点印象。'.
23:01:13–23:01:17  I say '一去就去了个最高规格。'.
23:01:17–23:01:24  I walk toward the stairs.
23:01:25–23:01:28  I walk past the 1881 HERITAGE sign.
23:01:28–23:01:36  I walk down the pedestrian ramp.
23:01:36–23:01:41  I approach the station concourse.
23:01:41–23:01:44  I enter the main station passage.
23:01:44–23:01:50  I walk along the walkway holding a drink.
23:01:50–23:01:54  I say '哦。拿一下。我。'.
23:01:55–23:01:58  I walk along the pedestrian subway tunnel beside my companion.
23:01:58–23:02:01  I open the McDonald's takeout bag.
23:02:01–23:02:04  My companion says '不是我，我我要拿个鸡块。'
23:02:04–23:02:06  I say '啊？'
23:02:06–23:02:10  My companion says '你看麦当劳炸的这个颜色就。'
23:02:10–23:02:20  I look toward the overhead station directional signs.
23:02:20–23:02:24  I adjust the French fries carton.
23:02:24–23:02:25  I look at my companion.
23:02:25–23:02:28  I step onto the moving walkway.
23:02:28–23:02:33  I ride the moving walkway.
23:02:33–23:02:34  My companion says '就是那种比较年幼的薯条。'
23:02:34–23:02:36  I say '我就喜欢老的，咋了？'
23:02:36–23:02:38  My companion says '没事，就是不同风格，挺好。'
23:02:38–23:02:40  I say '老了才有韵味，懂不懂啊？'
23:02:40–23:02:42  My companion says '可以。得少妇是吧？'
23:02:42–23:02:45  I say '老了。'
23:02:45–23:02:49  I ride the moving walkway holding a fry.
23:02:49–23:02:52  My companion says '哦。得奶奶是吧？'
23:02:52–23:02:55  I watch my companion drink.
23:02:55–23:02:58  The companion says '酸奶好好喝。'
23:02:58–23:03:00  I say '嗯。'
23:03:00–23:03:06  The companion says '赶紧吃，老张你也不能吃。'
23:03:06–23:03:10  The companion says '快丢了，挨一口。'
23:03:10–23:03:15  I pull out the fry carton.
23:03:16–23:03:20  I look ahead down the walkway.
23:03:20–23:03:24  I ride the moving walkway.
23:03:25–23:03:27  I touch my companion's ear.
23:03:27–23:03:31  I look down toward the moving walkway exit.
23:03:31–23:03:35  I step off the moving walkway.
23:03:35–23:03:40  I walk toward the next moving walkway.
23:03:40–23:03:44  I step onto the moving walkway.
23:03:44–23:03:48  I pick out a french fry.
23:03:48–23:03:52  I say '系啊，之前佢佢哋话好咗嘅嗰阵时。'.
23:03:52–23:03:55  I reach into the french fries carton.
23:03:55–23:04:02  I pick a french fry from the carton.
23:04:03–23:04:12  I say '哎呀！我去，这么好喝呀，给孩儿给喝呛了。'
23:04:13–23:04:19  I monitor the moving walkway end.
23:04:20–23:04:21  I look at the moving walkway comb plate.
23:04:22–23:04:24  I walk along the station concourse.
23:04:25–23:04:27  I ask '你住过九龙酒店吗？'
23:04:28–23:04:32  My companion says '没住过，住过，但是不是？我不知道是哪个酒店。'
23:04:33–23:04:36  I say '嗯嗯嗯。'
23:04:37–23:04:44  I hold a fry while walking.
23:04:45–23:04:49  I take a fry from the bag.
23:04:50–23:04:52  I ask '这是什么？'
23:04:53–23:04:54  I say '我院硕士研究生以第一作者身份在高水平。'
23:04:55–23:04:58  I say '期刊发表论文，来看看，这是我本科的一个学院，本科的外国语学院。'
23:04:58–23:05:04  I say '高水平期刊指的是《Nature》。心理学顶级核心期刊，《心理发展与教育》。'
23:05:04–23:05:06  I say '哦，酷。'
23:05:06–23:05:11  I take out a fry.
23:05:11–23:05:14  I look at the Clock Tower mural.
23:05:14–23:05:18  I watch oncoming pedestrians.
23:05:18–23:05:22  I pick another fry.
23:05:22–23:05:25  I walk along the floor guideline.
23:05:25–23:05:29  I check my fries.
23:05:30–23:05:36  I walk toward Tsim Sha Tsui Station.
23:05:37–23:05:43  I read the '見疑即報 Spot and Report' poster.
23:05:44–23:05:48  I examine the '能源大樓' wall mural.
23:05:49–23:05:50  I view the CTF Life advertisement.
23:05:51–23:05:54  I observe the '閃避求' safety mural.
23:05:55–23:05:57  My companion says '漂亮啊！感觉你捡到宝了。'
23:05:57–23:05:58  I say '是。'
23:05:58–23:06:01  My companion says '感觉便宜你了。哈，Sorry。'
23:06:01–23:06:03  I look at the CTF Life insurance advertisement.
23:06:03–23:06:06  I ask '什么意思啊？'
23:06:06–23:06:08  My companion says '对，是。'
23:06:08–23:06:12  I say '什么意思啊？你这，你这带着带着嘲讽，又带着一丝。'
23:06:12–23:16:16  I take out a french fry.
23:06:16–23:06:20  I view the CTF Life advertisement.
23:06:20–23:06:24  I view the CTF Life savings plan advertisement.
23:06:25–23:06:32  I walk down the walkway while looking at the CTF Life advertisement.
23:06:33–23:06:36  I view the savings insurance advertisement on the right wall.
23:06:37–23:06:40  I walk straight down the corridor.
23:06:41–23:06:44  I grab a french fry.
23:06:45–23:06:48  I walk past the floor tile grid.
23:06:49–23:06:54  I turn toward the Exit L1 corridor.
23:06:55–23:06:59  I say '先生，哦，我是姚先生，不对啊，先生感觉像是他就姓姚，但是孟太太指的是另一个人的太太。'
23:07:00–23:07:03  My companion says '没有人会叫什么，现在不冠夫姓的。'
23:07:04–23:07:08  I say '对，我知道，我说对，我说对称的，孟太太和姚是吗？'
23:07:09–23:07:11  My companion says '没有这，没有没有这个叫法。'
23:07:12–23:07:13  I say '哦，看来古代是？'
23:07:14–23:07:16  My companion says '不是古代哦，这是西方传过来的。'
23:07:17–23:07:18  I say '哦。'
23:07:19–23:07:24  My companion says '在中国一直都是女性冠姓权，没有冠夫姓。'
23:07:25–23:07:28  I say 'OK。' to my companion.
23:07:28–23:07:31  I say 'OK。' to my companion.
23:07:31–23:07:36  My companion says '包括大家觉得菊花象征不好，也是西方文化入侵。'.
23:07:36–23:07:41  I say '那梅兰竹菊在古代……那菊花只是形状像。'.
23:07:41–23:07:46  My companion says '菊花呀，像皮眼啊。'.
23:07:46–23:07:50  I say '不是，人家觉得菊花不好，是因为菊花是在送殡的时候用的。'.
23:07:50–23:07:54  I say '这是出殡，就是人家……'.
23:07:55–23:07:58  I walk along the transit walkway.
23:07:58–23:08:02  I look at the wall mural.
23:08:02–23:08:08  I follow my companion along the corridor.
23:08:09–23:08:13  I open the McDonald's paper packaging.
23:08:14–23:08:18  I reach into the food bag.
23:08:19–23:08:22  I look at the Red zone wall sign.
23:08:23–23:08:24  I hold up a chicken nugget.
23:08:25–23:08:27  I say "像是一个贝壳型的。"
23:08:27–23:08:32  My companion says "就User X没钱，只能把我的钱。赶紧给我吃，赶紧把老子放进去。"
23:08:33–23:08:36  I say "看会儿这个吧。"
23:08:36–23:08:42  I say "不是吗？那为什么这边才上映的？"
23:08:43–23:08:48  My companion says "那这个上映好久了。"
23:08:49–23:08:55  I say "这是港语的。"
23:08:55–23:08:57  My companion says '哦，还真是。它原文是港语的还是？'.
23:08:58–23:09:01  I say '没有，原文是潮汕话。'.
23:09:02–23:09:05  I say '这好像也是潮汕话哎，就没有没有没有。'.
23:09:06–23:09:07  My companion says '哦，是吗？'.
23:09:08–23:09:12  I say '没有变成粤语，这就是潮汕话，没有变。'.
23:09:13–23:09:15  My companion says '走吧。'.
23:09:16–23:09:20  I say '那他们都说这这评分超高的，就他是他的导演，他的演员都名不见经传。'.
23:09:21–23:09:24  I read the subtitles.
23:09:25–23:09:30  I watch the trailer introduction.
23:09:30–23:09:46  I say '他的主演都是大，他当时演这个戏的时候是大二的学生，然后演，然后现在大四毕业，直接进娱乐圈。'
23:09:47–23:09:48  I look at the snack bag.
23:09:49–23:09:54  I watch the fortune-teller scene.
23:09:55–23:10:05  I watch the trailer for 《给阿嬷的情书》.
23:10:06–23:10:06  I glance at a pedestrian.
23:10:07–23:10:16  I watch the qiaopi letter scenes on the digital ad.
23:10:17–23:10:18  I read '被愛守護的阿嬤' on the screen.
23:10:19–23:10:24  I watch the ending poetic lines of the trailer.
23:10:25–23:10:28  I watch the movie trailer opening on the advertising kiosk.
23:10:29–23:10:32  I watch the tree scene in the trailer.
23:10:33–23:10:36  I watch the elderly character scene in the trailer.
23:10:37–23:10:38  I watch the landscape shot in the trailer.
23:10:39–23:10:42  I watch the young man praying in the trailer.
23:10:43–23:10:48  I watch the young man giving thanks in the trailer.
23:10:49–23:10:52  I watch the comedic conversation in the trailer.
23:10:53–23:10:54  I read the movie trailer closing title card.
23:10:55–23:11:00  I watch the 《給阿嬤的情書》 movie ad.
23:11:00–23:11:06  I walk across the concourse.
23:11:06–23:11:10  I walk along the concourse.
23:11:10–23:11:12  My companion says '拿一下，我我那个有头发。'.
23:11:12–23:11:14  My companion says 'OK，谢谢。'.
23:11:14–23:11:17  I say '你有头发咋的了？' to my companion.
23:11:17–23:11:20  My companion says '每次都弄得我很痛。'.
23:11:20–23:11:24  I walk toward the ticket gates.
23:11:25–23:11:28  I walk through the concourse while my companion says '不是因为每次我自己都磕着自己头发。'
23:11:29–23:11:34  I approach the ticket gate.
23:11:35–23:11:36  I tap my smartphone on the gate reader.
23:11:37–23:11:39  I check the train arrival display.
23:11:40–23:11:44  I look at my companion checking her phone.
23:11:45–23:11:47  I say '我记得前不久你刚充了五百吧？' and companion replies 'Sorry呀。'
23:11:48–23:11:50  I walk toward the platform escalators.
23:11:51–23:11:54  I watch a large digital advertising screen.
23:11:55–23:11:57  I walk towards the escalator.
23:11:58–23:12:03  I step onto the escalator.
23:12:04–23:12:16  I ride the escalator downward.
23:12:17–23:12:20  I look toward the subway platform.
23:12:21–23:12:24  I say '哦，shit！'.
23:12:25–23:12:28  I step off the escalator onto the platform.
23:12:29–23:12:35  I walk along the platform.
23:12:36–23:12:43  I approach the train doors.
23:12:44–23:12:49  I step into the train doorway.
23:12:50–23:12:54  I say 'Sorry啊，Oh no, we don't have seat. I think.'
23:12:55–23:12:58  I look at the carriage window advertisement.
23:12:58–23:13:02  I watch the train doors open.
23:13:02–23:13:06  The train broadcast announces '请不要靠近车门。Please stand back from the train doors.'
23:13:06–23:13:10  I look at my companion.
23:13:10–23:13:15  My companion says '嗯。嗯。孟加税的叙，是叙都什么叙？孟加税。'
23:13:15–23:13:17  I take out my smartphone.
23:13:17–23:13:20  I unlock my phone.
23:13:20–23:13:23  I open the Bilibili app.
23:13:23–23:13:25  I view the Bilibili recommendation feed.
23:13:25–23:13:37  I browse the Bilibili home feed.
23:13:38–23:13:41  I tap the 2027 Porsche Taycan video card.
23:13:41–23:13:45  I say '保时捷只要七十多万。'
23:13:45–23:13:48  I watch the Porsche Taycan video.
23:13:48–23:13:51  I say '最近几年，最近几年保时捷跌了好多。'
23:13:51–23:13:54  I return to the Bilibili home feed.
23:13:55–23:13:57  I say '好多四S店都关门了。'
23:13:57–23:14:00  I say '没人买。'
23:14:00–23:14:06  I say '可能是因为国内消费降级吧，就是大家都，不是大家最近经济都不太好，有钱人那些有钱人也减少了。'
23:14:06–23:14:12  I say '我理解是这样。不如买电车划算。'
23:14:12–23:14:18  I watch a passenger stand up.
23:14:19–23:14:24  I say '当然，也有一部分原因是因为转移到国产电车，国产电车也很强。'
23:14:25–23:14:27  I tap the video card for '三重收入稳稳拿捏！光伏落地茶山，茶农日子越干越...'.
23:14:28–23:14:31  I say 'I don't know.'
23:14:32–23:14:35  I say 'No.'
23:14:36–23:14:39  I say 'Guangxi.'
23:14:39–23:14:42  The companion says 'Ah, Yunnan is okay. Yunnan, go to Yunnan.'
23:14:43–23:14:46  I view the Bilibili video details page and recommended video list.
23:14:47–23:14:54  I browse recommended video cards on the Bilibili home feed.
23:14:55–23:14:56  I tap the Bilibili video '科技赋能物流！西藏琼结迎来邮政无人驾驶投递车'.
23:14:56–23:15:16  I watch the Bilibili video about Tibet postal autonomous vehicles.
23:15:17–23:15:21  I look up at the carriage and opening doors.
23:15:22–23:15:25  I look back at the Bilibili video.
23:15:25–23:15:38  I watch a Bilibili video about an autonomous postal vehicle.
23:15:38–23:15:47  I watch the postal vehicle video credits.
23:15:47–23:15:50  I browse and select a video on the Bilibili feed.
23:15:50–23:15:54  I wait for the Bilibili video to buffer.
23:15:55–23:15:57  I look at the buffering Bilibili video.
23:15:58–23:15:59  I glance at the companion's phone.
23:16:00–23:16:05  I browse recommended car review videos on Bilibili.
23:16:06–23:16:11  I read the recommended Mercedes EV video listings.
23:16:12–23:16:16  I say '我这个流量卡，电脑不是地铁上信号特别烂。'.
23:16:17–23:16:24  I watch the Mercedes-Benz VLE test drive video.
23:16:25–23:16:30  I watch a Bilibili review of the Mercedes-Benz VLE.
23:16:31–23:16:34  I watch the presenter discuss domestic MPV competition.
23:16:35–23:16:39  I watch competitor MPV graphics.
23:16:40–23:16:45  I watch driving footage of the Mercedes-Benz VLE.
23:16:46–23:16:51  I watch a vehicle dimension comparison graphic.
23:16:52–23:16:55  I watch the rear exterior of the Mercedes-Benz VLE.
23:16:55–23:17:09  I watch a Bilibili car review video.
23:17:10–23:17:11  I navigate to the Bilibili feed.
23:17:12–23:17:13  I look up at the carriage.
23:17:14–23:17:16  I say 'Let's take a seat.'
23:17:17–23:17:18  My companion says 'Okay. 咋了？'
23:17:19–23:17:21  I say 'I wanna take a seat.'
23:17:22–23:17:24  I browse the Bilibili feed.
23:17:25–23:17:28  I view a Bilibili video card about CNC lathes for photolithography.
23:17:29–23:17:30  I open the photolithography CNC machinery video on Bilibili.
23:17:31–23:17:50  I read the Bilibili video description on photolithography machine CNC lathe parts.
23:17:51–23:17:54  I watch the CNC lathe delivery video footage.
23:17:55–23:18:03  I watch a Bilibili video about CNC vertical lathe machinery.
23:18:04–23:18:14  I say '人均人均人均年薪多少？人均人均人均年薪一百万，人家会的。'
23:18:15–23:18:20  I watch the Bilibili video of the loaded transport truck.
23:18:21–23:18:24  I browse the Bilibili home recommendation feed.
23:18:25–23:18:27  I scroll through the Bilibili feed.
23:18:27–23:18:33  I examine the Bilibili video card '“东哥甩手发钱的姿势，我至今都没有学会”'.
23:18:33–23:18:35  I tap on the video '“东哥甩手发钱的姿势，我至今都没有学会”'.
23:18:35–23:18:40  I watch the Bilibili video segment '每个兄弟送一部iPhone7'.
23:18:40–23:18:48  I watch the Bilibili video segment 'iPhone7和7plus你们随便挑'.
23:18:48–23:18:54  I watch the Bilibili video segment '携妻衣锦还乡 2015年'.
23:18:55–23:18:56  I return to the Bilibili feed.
23:18:56–23:18:59  I say '昨天上班。今天上班。'
23:18:59–23:19:03  I say '我早啊。'
23:19:03–23:19:07  I watch the A350-1000ULR flight test video.
23:19:07–23:19:11  I say '我晚上出去干嘛？去哪儿？'
23:19:11–23:19:15  I browse the Bilibili feed.
23:19:15–23:19:18  I browse the Bilibili feed.
23:19:19–23:19:25  I watch '宁夏牛粪集体消失？火电厂：没错，我在偷偷吃'.
23:19:25–23:19:27  I look at a Bilibili video on my phone.
23:19:27–23:19:30  I sit on a subway bench seat.
23:19:30–23:19:34  I settle into the seat.
23:19:34–23:19:40  I watch the Bilibili video about thermal power plants.
23:19:40–23:19:46  I watch the video on renewable power surges and solar farms.
23:19:46–23:19:50  I watch the power plant control room footage.
23:19:50–23:19:54  I watch the coal freight footage on my phone.
23:19:55–23:20:13  I watch a Bilibili video on biomass co-firing.
