17:04:58–17:05:00  I say "哦，是。"
17:13:58–17:14:05  I say "嗯，可能不止，可能不只是氟的问题，也有可能是别的问题。"
17:14:05–17:14:10  I say "你没有啊？"
17:14:11–17:14:18  I say "都是制冷啊，都开十六度了。"
17:14:19–17:14:23  I say "行行行，也行吧。"
17:14:24–17:14:28  I say "好好好。"
17:14:28–17:14:33  I say '嗯，行行行，好，嗯。'
17:14:34–17:14:38  I say '啊，对对对。好好好。'
17:14:39–17:14:42  I look at the floor.
17:14:43–17:14:47  I say '嗯。嗯。行。'
17:14:48–17:14:53  I say '嗯，行行行。'
17:14:54–17:14:57  I say '好好好好好。'
17:14:58–17:15:00  I say '嗯，好，好，好，嗯。'
17:15:01–17:15:02  I end the call with XXX-XXXX-XXXX.
17:15:03–17:15:06  I aim the air conditioner remote at the air conditioner.
17:15:07–17:15:08  I place the air conditioner remote on the desk.
17:15:09–17:15:12  I slide open the balcony door.
17:15:13–17:15:16  I look outside from the balcony.
17:15:17–17:15:18  I turn back toward the bedroom.
17:15:19–17:15:22  I grab a bottle of water from the box.
17:15:23–17:15:27  I walk across the room with the water bottle.
17:15:28–17:15:34  I look at the bedside table.
17:15:35–17:15:38  I step onto the balcony.
17:15:39–17:15:43  I look out at the apartment buildings.
17:15:44–17:15:51  I say '哦，I think this is really bad atmosphere somehow.'
17:15:52–17:15:54  I turn toward the bedroom.
17:15:55–17:15:57  I walk toward the table.
17:15:58–17:16:00  I check the wardrobe.
17:16:01–17:16:03  I look at the shoe rack.
17:16:04–17:16:07  I walk through the entryway.
17:16:08–17:16:10  I step into the stairwell.
17:16:11–17:16:13  I close the front door.
17:16:14–17:16:19  I walk down stairs.
17:16:20–17:16:23  I turn on the stair landing.
17:16:24–17:16:27  I descend toward the lower landing.
17:16:28–17:16:29  I walk down the stairwell.
17:16:29–17:16:32  I say 'From the robot dog, we are not able to do that.'
17:16:32–17:16:35  I walk across the landing.
17:16:35–17:16:38  I say 'Build on those shit. And um, yeah.'
17:16:38–17:16:43  I walk down the stairs.
17:16:43–17:16:48  I say 'From the robot dog,'
17:16:48–17:16:52  I walk down the stairs.
17:16:52–17:16:55  I say 'I have a very bad habit of building.'
17:16:55–17:16:58  I walk toward the landing.
17:16:58–17:17:00  I say '对，'.
17:17:01–17:17:05  I walk down the stairs.
17:17:06–17:17:10  I descend the next flight of stairs.
17:17:11–17:17:13  I look at the utility boxes.
17:17:14–17:17:20  I walk toward the ground-floor exit.
17:17:21–17:17:24  I approach the exit doorway.
17:17:25–17:17:27  I step outside the building.
17:17:28–17:17:31  I walk toward the electric scooter.
17:17:32–17:17:34  I sit onto the electric scooter.
17:17:35–17:17:39  I tap the unlock option in the Hello Electric Scooter app.
17:17:40–17:17:45  I place my palm on the scooter NFC cluster.
17:17:46–17:17:48  I check the scooter digital display.
17:17:49–17:17:51  I grip both handlebars.
17:17:52–17:17:57  I ride the electric scooter along the road.
17:17:58–17:18:03  I ride forward along the residential road.
17:18:04–17:18:07  I ride past residents and parked cars.
17:18:08–17:18:12  I ride past the parking shed and parked cars.
17:18:13–17:18:17  I approach the compound exit gate.
17:18:18–17:18:22  I steer toward the non-motorized exit passage.
17:18:23–17:18:25  I ride over the speed bump through the exit gate.
17:18:26–17:18:28  I merge onto the public road.
17:18:28–17:18:32  I ride an electric scooter past parked bicycles.
17:18:33–17:18:43  I ride along the tree-lined bike lane.
17:18:44–17:18:48  I ride past a fire hydrant.
17:18:49–17:18:52  I ride past a police station entrance.
17:18:53–17:18:57  I approach an intersection near a senior care home.
17:18:58–17:19:03  I ride the electric scooter.
17:19:03–17:19:09  I ride across the bridge.
17:19:09–17:19:15  I ride past queued cars.
17:19:15–17:19:18  I steer around the intersection corner.
17:19:18–17:19:24  I ride along the fenced lane.
17:19:24–17:19:28  I ride along the fenced lane.
17:19:28–17:19:31  I ride an electric scooter along the bike lane.
17:19:31–17:19:36  I say '做不完就熬夜，熬夜之后其实不是做不完。'
17:19:36–17:19:40  I glance at a yellow shared bike.
17:19:40–17:19:43  I say 'I'm just trying to be honest, right?'
17:19:43–17:19:47  I ride past a milestone marker.
17:19:47–17:19:50  I read the overhead directional road sign.
17:19:50–17:19:54  I approach Waniujing Bridge.
17:19:54–17:19:58  I check the scooter speedometer.
17:19:58–17:20:03  I ride through the intersection.
17:20:03–17:20:08  I ride across Caojiagou Bridge.
17:20:08–17:20:13  I ride past parked cars.
17:20:13–17:20:19  I ride past silver-covered cars.
17:20:19–17:20:24  I ride along parked vehicles.
17:20:24–17:20:28  I ride toward the yellow road marking.
17:20:28–17:20:34  I ride past parked cars.
17:20:34–17:20:41  I ride past a row of parked cars.
17:20:41–17:20:47  I ride toward an overhead traffic sign.
17:20:47–17:20:53  I ride past parked sedans.
17:20:53–17:20:57  I ride into the intersection on a green light.
17:20:58–17:21:02  I ride an electric scooter.
17:21:02–17:21:05  I say "这是太 ambitious 了，还是什么？"
17:21:05–17:21:11  I ride across the intersection.
17:21:12–17:21:16  I enter the roadside lane.
17:21:17–17:21:27  I ride along the road.
17:21:28–17:21:38  I ride an electric scooter forward.
17:21:38–17:21:42  I notice yellow road barriers and a traffic sign.
17:21:42–17:21:51  I ride forward along the road.
17:21:51–17:21:54  I look at a bus stop and weight limit signs.
17:21:54–17:21:58  I ride past red-and-white bollards toward parked vehicles.
17:21:58–17:22:06  I ride my electric scooter forward.
17:22:06–17:22:11  I ride toward the parking sign.
17:22:11–17:22:14  I observe parked shared bicycles.
17:22:14–17:22:18  I observe the crosswalk and bike parking.
17:22:19–17:22:22  I steer into the parking entrance.
17:22:23–17:22:27  I say '行，哦，就停泊在这儿。'
17:22:28–17:22:29  I say '我觉得。'
17:22:29–17:22:30  I watch the silver sedan cross the crosswalk.
17:22:30–17:22:33  I check the Haro electric bike rental app.
17:22:34–17:22:35  I glance at a white Toyota sedan waiting at the stop line.
17:22:36–17:22:39  I watch a red sedan drive past the crosswalk.
17:22:40–17:22:42  I watch a white SUV and a yellow scooter cross the intersection.
17:22:43–17:22:44  I glance down Qiai Road.
17:22:44–17:22:46  I watch an electric scooter with an umbrella canopy approach.
17:22:47–17:22:50  I walk along the curved sidewalk corner.
17:22:51–17:22:53  I watch a scooter rider in a blue jacket pass by.
17:22:53–17:22:57  I watch a woman on a blue electric bike cross the intersection.
17:22:58–17:23:10  I watch intersection traffic.
17:23:10–17:23:16  I observe a minivan crossing.
17:23:16–17:23:22  I watch a delivery scooter ride past.
17:23:22–17:23:28  I monitor crossing scooters.
17:23:28–17:23:36  I monitor intersection traffic and passing scooters.
17:23:37–17:23:43  I look at waiting pedestrians and scooters.
17:23:44–17:23:53  I say 'Me either. I think that where those people who don't have those as much motivations, or we are distracted, or something, we don't have a positive feedback.'
17:23:54–17:23:57  I watch pedestrians crossing the zebra crossing.
17:23:58–17:24:03  I walk across the crosswalk.
17:24:03–17:24:08  I walk across the crosswalk.
17:24:08–17:24:14  I walk past the island curb.
17:24:14–17:24:20  I walk past a blue SUV.
17:24:20–17:24:25  I step onto the plaza.
17:24:25–17:24:27  I walk across the plaza.
17:24:28–17:24:35  I watch the food commercial on the outdoor LED display.
17:24:36–17:24:37  I look at the man's backpack.
17:24:38–17:24:39  I look at the '黔家婆' advertisement on the LED display.
17:24:40–17:24:42  I follow behind the woman in white.
17:24:43–17:24:46  I look at the commercial advertisements on the LED display.
17:24:47–17:24:56  I walk across the stone tile pavement.
17:24:57–17:24:57  I look at the menu boards outside the craft beer bar.
17:24:58–17:24:59  I glance at the craft beer kiosk.
17:24:59–17:25:03  I say 'G R P，这是个非常长的链，我 think。'
17:25:03–17:25:11  I walk across the plaza.
17:25:12–17:25:15  I look at the giant LED screen.
17:25:16–17:25:17  I look at the directory sign.
17:25:18–17:25:21  I follow the woman ahead.
17:25:22–17:25:24  I glance at the Watsons storefront.
17:25:25–17:25:27  I walk past the glass pavilion.
17:25:28–17:25:32  I walk along the plaza beside Watsons.
17:25:33–17:25:37  I follow behind pedestrians.
17:25:38–17:25:42  I walk past Tangzhen Station Exit 1.
17:25:43–17:25:47  I observe the station entrance and directory sign.
17:25:48–17:25:52  I look ahead at pedestrians on the promenade.
17:25:53–17:25:57  I look at the glass building facade while walking.
17:25:58–17:26:02  I say "I think it's much more hard nowadays."
17:26:03–17:26:07  I look at a woman pulling a suitcase.
17:26:08–17:26:10  I glance at the public restroom entrance.
17:26:11–17:26:16  I walk past the public restroom.
17:26:17–17:26:20  I look toward the 中国馅饼 kiosk.
17:26:21–17:26:24  I look at the paved ground.
17:26:25–17:26:27  I look at the 中国馅饼 kiosk.
17:26:28–17:26:34  I walk past Paris Baguette.
17:26:34–17:26:38  I walk across the plaza.
17:26:38–17:26:41  I look at the Yonghui Supermarket sign.
17:26:41–17:26:46  I walk under the building overhang.
17:26:46–17:26:50  I look at the 深夜食堂 restaurant sign.
17:26:50–17:26:54  I turn toward the mall entrance.
17:26:54–17:26:57  I push open the plastic strip curtain.
17:26:58–17:27:00  I enter the mall.
17:27:00–17:27:04  I walk past Starbucks.
17:27:04–17:27:09  I walk under the escalator.
17:27:09–17:27:15  I walk past a service counter.
17:27:15–17:27:18  I approach the downward escalator.
17:27:18–17:27:22  I step onto the escalator.
17:27:22–17:27:28  I ride the escalator down.
17:27:28–17:27:30  I say "metro。"
17:27:31–17:27:35  I look at the hanging banner.
17:27:36–17:27:40  I say "Where's the uh?"
17:27:41–17:27:45  I look at the shopping carts.
17:27:46–17:27:49  I step off the escalator.
17:27:50–17:27:52  I glance at the watch repair pillar.
17:27:53–17:27:57  I say "Yep, I think it's this one."
17:27:58–17:28:02  I walk along the mall hallway.
17:28:02–17:28:07  I observe the Joyful Peanut snack display.
17:28:07–17:28:13  I walk past the Lei Fan restaurant.
17:28:13–17:28:17  I walk past the kids arcade rides.
17:28:17–17:28:21  I walk past the Just Foto booth.
17:28:21–17:28:25  I walk past yellow claw machines.
17:28:25–17:28:27  I approach the food court plaza.
17:28:28–17:28:30  I walk along the shopping mall hallway.
17:28:31–17:28:34  I walk past the Qi Wang Peanuts kiosk.
17:28:35–17:28:39  I approach the Du Su Shi Jia bakery counter.
17:28:40–17:28:42  I examine the refrigerated pastry showcase.
17:28:43–17:28:51  I browse the freshly baked pastries.
17:28:52–17:28:54  I say '拿一个乳酪金砖'.
17:28:54–17:28:55  The bakery staff member says '好'.
17:28:56–17:28:58  I say '啊对'.
17:28:58–17:29:06  I browse the bakery display case.
17:29:07–17:29:09  I say '再来一个月饼。'
17:29:10–17:29:14  I open Alipay.
17:29:15–17:29:19  The cashier says '一共十八块钱。'
17:29:20–17:29:23  I tap my phone on the Alipay sensor.
17:29:24–17:29:27  I view the payment confirmation screen.
17:29:28–17:29:32  I wait at the bakery checkout counter.
17:29:33–17:29:34  I take the paper shopping bag and say '谢谢。'.
17:29:35–17:29:40  I walk past the 琦王花生 kiosk.
17:29:41–17:29:46  I walk past arcade claw machines.
17:29:47–17:29:52  I walk past 夸父炸串 and the JUST.FOTO photo booth.
17:29:53–17:29:57  I open the inner 读酥世家 pastry pouch.
17:29:58–17:30:00  I take a pastry from the 煲酥世家 bag.
17:30:01–17:30:05  I walk past a Meituan charging kiosk.
17:30:06–17:30:11  I inspect the bitten pastry.
17:30:12–17:30:16  I look at the Taiwanese potstickers restaurant.
17:30:17–17:30:20  I glance down the concourse.
17:30:21–17:30:25  I examine an advertising pillar.
17:30:26–17:30:27  I approach the 永辉超市 entrance.
17:30:28–17:30:34  I walk toward Yonghui Supermarket.
17:30:35–17:30:39  I look at the pastry in my hand.
17:30:40–17:30:47  I walk toward the wooden benches.
17:30:48–17:30:50  I say '哎，对，'.
17:30:51–17:30:57  I open the pastry bag.
17:30:58–17:31:00  I say '哎，对，'.
17:31:01–17:31:05  I examine the white paper pastry bag.
17:31:06–17:31:11  I reach into the 读酥世家 tote bag.
17:31:12–17:31:15  I take out a plastic container of baked pastry.
17:31:16–17:31:23  I inspect the plastic container of baked pastry.
17:31:24–17:31:27  I open the plastic box lid.
17:31:28–17:31:29  I say '哦。'
17:31:29–17:31:30  I hold a piece of baked cheese toast.
17:31:31–17:31:37  I inspect the baked cheese toast.
17:31:38–17:31:39  I take a bite of the cheese toast.
17:31:40–17:31:44  I gaze at the cheese toast.
17:31:45–17:31:50  I read '手作现烤' and '自然更酥'.
17:31:51–17:31:57  I hold the cheese toast over the container.
17:31:58–17:32:02  I examine a baked pastry.
17:32:02–17:32:04  I say '嗯。'
17:32:04–17:32:09  I look at the packaging on my lap.
17:32:10–17:32:17  I observe my hand under the container.
17:32:18–17:32:23  I look at the container lid edge.
17:32:24–17:32:27  I look at the pastry over the container.
17:32:28–17:32:28  I look at the cheese pastry.
17:32:29–17:32:30  I watch a person walking.
17:32:31–17:32:33  I look at the cheese pastry.
17:32:34–17:32:38  I eat the cheese pastry.
17:32:39–17:32:44  I inspect the bitten cheese pastry.
17:32:45–17:32:48  I eat the cheese pastry.
17:32:49–17:32:55  I examine the bitten cheese pastry.
17:32:56–17:32:57  I look at the floor.
17:32:58–17:33:05  I inspect a piece of yellow pastry.
17:33:06–17:33:08  I take a bite of the pastry.
17:33:09–17:33:13  I hold the partially eaten pastry.
17:33:14–17:33:15  I take another bite of the pastry.
17:33:16–17:33:23  I hold the remaining pastry.
17:33:24–17:33:27  I eat the rest of the pastry.
17:33:28–17:33:33  I hold a yellow baked pastry.
17:33:34–17:33:35  I say '啊！'.
17:33:36–17:33:40  I look at the fallen 读酥世家 paper bag.
17:33:41–17:33:43  I look at the emergency exit sign.
17:33:44–17:33:48  I pick up the 读酥世家 paper bag.
17:33:49–17:33:50  I stand up.
17:33:51–17:33:57  I watch the supermarket food stalls and passing shoppers.
17:33:58–17:34:04  I watch shoppers walk toward the checkout area.
17:34:05–17:34:08  I watch the family stop beside the food stall.
17:34:09–17:34:12  I observe a pedestrian and a delivery courier.
17:34:13–17:34:15  I track the delivery courier walking past.
17:34:16–17:34:19  I look toward the food stall and cashier aisles.
17:34:20–17:34:22  I watch a woman carrying a red bag walk past.
17:34:23–17:34:28  I observe the checkout counters and pedestrians.
17:34:28–17:34:33  I observe the supermarket walkway.
17:34:34–17:34:38  I watch a boy walk across the concourse.
17:34:39–17:34:41  I view the pastry cart sign.
17:34:42–17:34:51  I watch customers at the snack stalls.
17:34:52–17:34:57  I watch a toddler on the concourse floor.
17:34:58–17:35:06  I walk through the supermarket concourse.
17:35:06–17:35:09  I check inside my takeout bag.
17:35:09–17:35:13  I look around the concourse.
17:35:14–17:35:18  I walk past the pillar and handwashing station.
17:35:18–17:35:21  I enter the mall atrium.
17:35:21–17:35:24  I look at the floor directory totem.
17:35:24–17:35:27  I step onto the escalator.
17:35:28–17:35:32  I ride the escalator.
17:35:33–17:35:38  I browse Alipay.
17:35:39–17:35:41  I check Messages.
17:35:42–17:35:46  I check notifications.
17:35:47–17:35:52  I open a WeChat video.
17:35:53–17:35:57  I step into the mall atrium.
17:35:58–17:36:03  I walk toward the exit while monitoring a buffering video.
17:36:04–17:36:05  I check video messages in a WeChat chat.
17:36:06–17:36:06  I open iOS Control Center.
17:36:07–17:36:08  I tap the video message bubble in WeChat.
17:36:09–17:36:11  I tap the Wi-Fi toggle in Control Center.
17:36:12–17:36:17  I walk through the exit doors.
17:36:18–17:36:20  I reopen the video full-screen in WeChat.
17:36:21–17:36:24  I monitor the buffering video.
17:36:25–17:36:27  I say '啊！Like finally.'.
17:36:28–17:36:31  I check Control Center.
17:36:32–17:36:34  I view a WeChat chat.
17:36:35–17:36:37  I play a WeChat video.
17:36:38–17:36:40  I look ahead across the plaza.
17:36:41–17:36:44  I check a notification and Control Center.
17:36:45–17:36:47  I check the WeChat chat.
17:36:48–17:36:48  I browse the WeChat chat list.
17:36:49–17:36:51  I view the iOS Home Screen.
17:36:52–17:36:57  I walk toward the restroom entrance.
17:36:58–17:37:02  I walk along the plaza.
17:37:03–17:37:06  I walk past pedestrians.
17:37:07–17:37:11  I walk forward.
17:37:12–17:37:16  I read the transit dispatch office sign.
17:37:17–17:37:21  I look at the directional signage.
17:37:22–17:37:27  I approach the subway station entrance.
17:37:28–17:37:34  I walk out of the subway station exit.
17:37:34–17:37:40  I walk past the Watsons store.
17:37:40–17:37:45  I walk towards the outdoor square.
17:37:45–17:37:53  I walk past the glass kiosk.
17:37:53–17:37:57  I say '这边我可以坐。'
17:37:58–17:38:04  I say '这边吧，坐了坐就停了，是速度慢，但是，'.
17:38:05–17:38:08  I glance at the kiosk seating.
17:38:09–17:38:16  I say 'if you give me like ten years, I would have finished it very good.'.
17:38:17–17:38:27  I say 'I think it's not possible, actually.'.
17:38:28–17:38:35  I walk across the plaza.
17:38:36–17:38:40  I look at the street sign for Gaoke Road East.
17:38:41–17:38:46  I observe pedestrians waiting at the intersection.
17:38:47–17:38:51  I wait at the crosswalk curb.
17:38:52–17:38:57  I cross the street on the crosswalk.
17:38:58–17:39:06  I walk across the zebra crossing.
17:39:06–17:39:11  I check the pedestrian traffic signal countdown.
17:39:11–17:39:16  I say 'My God, this like, why? Why is it like a film?'
17:39:16–17:39:21  I walk past a black BYD SUV.
17:39:21–17:39:28  I step onto the sidewalk.
17:39:28–17:39:30  I wait at the intersection.
17:39:30–17:39:33  I say '是呀，所以我现在负责就是这个。'
17:39:34–17:39:37  I say '别听假的，真的。'
17:39:38–17:39:41  I say '感觉挺，感觉挺，感觉挺。'
17:39:42–17:39:49  I walk toward the parking area.
17:39:50–17:39:54  I open the Hellobike rental page.
17:39:55–17:39:57  I walk toward my parked scooter.
17:39:58–17:40:00  I say '哎，不是一个。'
17:40:00–17:40:03  I walk down the parking aisle.
17:40:03–17:40:05  I say '我的车在哪里？'
17:40:05–17:40:07  I spot my electric scooter.
17:40:07–17:40:09  I say '啊，在这里。'
17:40:09–17:40:12  I mount my electric scooter.
17:40:12–17:40:15  I ride toward the parking exit.
17:40:15–17:40:19  I cross the intersection.
17:40:19–17:40:24  I ride behind a silver sedan.
17:40:24–17:40:27  I ride behind a white SUV.
17:40:28–17:40:33  I ride behind a white SUV.
17:40:34–17:40:37  I observe a cyclist and oncoming bus.
17:40:38–17:40:42  I ride past a stone road marker and parked cart.
17:40:43–17:40:47  I monitor a silver sedan overtaking.
17:40:48–17:40:52  I say 'See, there are one, two, one is the random asteroid, the other one is the space ship.'
17:40:53–17:40:57  I ride past Wenming Driving School entrance.
17:40:58–17:41:02  I ride my electric scooter forward.
17:41:03–17:41:06  I monitor a grey sedan ahead.
17:41:07–17:41:10  I observe a blue road direction sign.
17:41:11–17:41:15  I cruise toward the upcoming intersection.
17:41:16–17:41:20  I approach the 齐爱路 intersection.
17:41:21–17:41:25  I cross the intersection on green.
17:41:26–17:41:28  I ride into the bike lane behind traffic.
17:41:28–17:41:32  I ride my electric scooter across the bridge.
17:41:33–17:41:37  I ride past parked cars as a minivan drives alongside.
17:41:38–17:41:43  I look at parked vehicles along the right curb.
17:41:44–17:41:46  I glance at the storefronts on the left.
17:41:47–17:41:51  I follow a scooter rider ahead.
17:41:52–17:41:54  I pass a man and child on an electric scooter.
17:41:55–17:41:57  I ride into a commercial street section.
17:41:58–17:42:04  I ride past parked cars and storefronts.
17:42:04–17:42:09  I follow a cyclist along the lane line.
17:42:09–17:42:15  I approach the intersection behind a white car.
17:42:15–17:42:19  I turn right past Mixue Bingcheng.
17:42:19–17:42:24  I monitor a delivery tricycle crossing ahead.
17:42:24–17:42:28  I ride forward across the intersection.
17:42:28–17:42:33  I ride through the intersection.
17:42:34–17:42:40  I say "That's interesting, actually. I've seen more and more of these kind of these kind of cars."
17:42:40–17:42:46  I ride along Qi'ai Road.
17:42:47–17:42:52  I pass an oncoming public bus.
17:42:53–17:42:58  I ride past commercial storefronts.
17:42:58–17:43:02  I ride an electric scooter along the street.
17:43:02–17:43:06  I observe roadside shops while riding.
17:43:06–17:43:09  I observe traffic signs ahead.
17:43:09–17:43:14  I follow a scooter rider ahead.
17:43:14–17:43:19  I ride toward an intersection.
17:43:19–17:43:23  I observe the bike lane and intersection at 齐爱路.
17:43:24–17:43:27  I say '二十，二十三，二四。'
17:43:27–17:43:28  I look ahead while riding.
17:43:28–17:43:33  I ride an electric scooter.
17:43:33–17:43:38  I track a cyclist ahead.
17:43:38–17:43:50  I ride along the road.
17:43:51–17:43:53  I exclaim '啊！'.
17:43:53–17:43:57  I ride toward an intersection.
17:43:58–17:44:03  I ride my electric scooter toward a bus.
17:44:03–17:44:07  I overtake the 1091 bus.
17:44:07–17:44:13  I approach a green dump truck.
17:44:13–17:44:18  I pass the green dump truck.
17:44:18–17:44:21  I check the scooter speedometer.
17:44:21–17:44:28  I ride past a 20t traffic sign and an overhead road sign.
17:44:28–17:44:31  I ride my electric scooter along the bridge road.
17:44:32–17:44:37  I ride behind a coach bus.
17:44:38–17:44:41  I ride past the coach bus into the crosswalk.
17:44:42–17:44:46  I observe the intersection traffic while riding across the crosswalk.
17:44:47–17:44:51  I turn right onto the sidewalk path.
17:44:52–17:44:57  I ride along the sidewalk toward the traffic light.
17:44:58–17:45:00  I monitor traffic crossing the intersection.
17:45:00–17:45:06  I watch a yellow crane truck drive past.
17:45:06–17:45:10  I watch a tricycle and scooters cross the street.
17:45:10–17:45:13  I glance toward the street corner.
17:45:13–17:45:22  I track a white sedan crossing the intersection.
17:45:23–17:45:28  I check the traffic signal and oncoming cars.
17:45:28–17:45:30  I glance down the street.
17:45:31–17:45:35  I watch a white SUV cross the intersection.
17:45:36–17:45:39  I watch a white sedan cross the intersection.
17:45:40–17:45:44  I watch a grey sedan cross the intersection.
17:45:45–17:45:49  I observe crossing vehicles and scooters.
17:45:50–17:45:55  I watch a grey SUV cross the street.
17:45:56–17:45:58  I watch a cyclist and scooter rider pass by.
17:45:58–17:46:02  I monitor a white SUV crossing the intersection.
17:46:02–17:46:09  I watch a scooter and cars at the intersection.
17:46:09–17:46:13  I watch a black Mercedes-Benz SUV turn across the crosswalk.
17:46:13–17:46:15  I say 'shit, bro.'
17:46:15–17:46:20  I monitor a dark Volkswagen SUV and an approaching scooter rider.
17:46:20–17:46:23  I observe cyclists crossing under the green light.
17:46:23–17:46:27  I ride my scooter along the bike lane past road signs.
17:46:28–17:46:35  I ride my electric scooter.
17:46:35–17:46:38  I hold up my phone.
17:46:38–17:46:41  I accept the WeChat video call.
17:46:41–17:46:45  I steer the scooter.
17:46:45–17:46:49  I say '我在骑车，我先挂了。'
17:46:49–17:46:53  I hang up the WeChat video call.
17:46:53–17:46:56  I view the WeChat chat list.
17:46:56–17:46:58  I look ahead at the road.
17:46:58–17:47:04  I say 'All those other things are working properly, but why do I have this feeling still?'.
17:47:05–17:47:08  I ride the electric scooter.
17:47:09–17:47:14  I say 'It's really interesting to see my.'.
17:47:15–17:47:20  I ride the electric scooter.
17:47:21–17:47:25  I look at pedestrians.
17:47:26–17:47:28  I ride the electric scooter.
17:47:28–17:47:36  I ride down the overpass ramp.
17:47:36–17:47:41  I ride onto Tanglu Highway.
