19:00:37–19:00:40  Say '不会是录满了吧？'
19:08:03–19:08:04  Access the Control Center
19:08:05–19:08:06  Look at incoming call screen
19:08:07–19:08:15  Scroll through short videos on Douyin.
19:08:16–19:08:26  Swipe through the short-video feed.
19:08:27–19:08:37  Scroll past promotional travel and ticket ads on Douyin.
19:08:37–19:08:41  Watch a Douyin video by creator @氧化菊
19:08:41–19:08:45  Scroll to the next video
19:08:45–19:08:47  Swipe through the Douyin feed
19:08:47–19:08:51  Pause on a video by @晚安的日记
19:08:51–19:09:06  Watch a video by @无所不能的方凯瑞 about an elderly model
19:09:07–19:09:17  Watch a short video on a subway train
19:09:17–19:09:18  Exit the video app
19:09:18–19:09:29  Look around the subway carriage
19:09:29–19:09:33  Open a Moodle forum post
19:09:33–19:09:37  Say '我为什么叫CCTD？'
19:09:37–19:09:40  Read an email regarding course test paper collection.
19:09:40–19:09:44  Scroll through the email list.
19:09:44–19:09:47  Chat with my friend.
19:09:47–19:09:51  Launch the Xiaohongshu app.
19:09:51–19:09:56  Spot a post about a smart concept car on the Xiaohongshu explore feed.
19:09:56–19:10:01  Examine photos of the smart #2 concept car.
19:10:01–19:10:07  Discuss the car with my friend.
19:10:07–19:10:09  View Xiaohongshu post about the smart #2 concept car
19:10:09–19:10:10  Return to the Xiaohongshu feed page
19:10:10–19:10:15  Watch '国产James' post about the smart #2 concept car video
19:10:15–19:10:21  Look around the train carriage
19:10:21–19:10:24  Ask myself if my balance is enough to buy the car
19:10:24–19:10:36  Scroll through the Xiaohongshu feed
19:10:37–19:10:42  Browse Xiaohongshu post about a BMW car experience
19:10:43–19:10:47  Scroll down the feed
19:10:48–19:10:50  Scroll down the feed
19:10:51–19:10:52  Scroll down further
19:10:53–19:10:57  Scroll to academic and lifestyle posts
19:10:58–19:11:02  Scroll to car and lifestyle posts
19:11:03–19:11:06  Say '到了，走。'
19:11:07–19:11:10  Stand inside crowded MTR subway car holding patterned backpack
19:11:11–19:11:17  Step off train onto Admiralty station platform past waiting commuters
19:11:18–19:11:27  Walk along subway platform past blue curved pillars and overhead directional signs
19:11:28–19:11:32  Walk along platform past train doors and station staff
19:11:33–19:11:37  Walk further down platform
19:11:37–19:11:42  Walk forward along the MTR station platform
19:11:43–19:11:49  Walk down the platform
19:11:50–19:11:57  Slow pace on the platform
19:11:58–19:12:03  Stand on the platform
19:12:04–19:12:06  Stand near the yellow safety line on the platform
19:12:07–19:12:10  Look at overhead directional signs and passenger flow on an MTR platform.
19:12:11–19:12:16  Watch pedestrians moving past on the platform walkway.
19:12:17–19:12:22  Walk along the platform by the blue curved wall labeled '金鐘 Admiralty'.
19:12:23–19:12:29  Look towards hanging digital train arrival displays down the platform.
19:12:30–19:12:37  Look towards a cylindrical digital advertising pillar in the concourse area.
19:12:37–19:12:45  Look at a cylindrical pillar advertisement in the middle of the concourse
19:12:46–19:12:56  Look at overhead directional signs pointing toward different MTR lines
19:12:57–19:13:07  Walk through the crowded station concourse past multiple commuters heading towards the platforms
19:13:07–19:13:10  Walk through a brightly lit subway station concourse towards an escalator entrance
19:13:10–19:13:14  Step onto the moving escalator
19:13:14–19:13:17  Ride down the escalator
19:13:17–19:13:21  Look at the escalator mechanism and surrounding structure
19:13:21–19:13:28  Observe the expansive multi-level curved architectural design of the underground station
19:13:28–19:13:37  Ride down the long escalator deeper into the station tunnel
19:13:37–19:13:42  Ride down the escalator with curved architecture and walkways of the station.
19:13:43–19:13:49  Continue riding down the escalator past the glass panel reflection on the left.
19:13:50–19:13:55  Look at the back of the head of the person standing directly in front on the escalator.
19:13:56–19:14:00  Look at a person on the escalator holding a smartphone.
19:14:01–19:14:06  Look towards the bottom of the escalator and the blue-walled walkway.
19:14:07–19:14:17  Ride a descending MTR escalator
19:14:18–19:14:22  Look down to the side of the escalator
19:14:23–19:14:27  Look around the station concourse area below
19:14:28–19:14:32  Look around at surrounding commuters near the escalator exit
19:14:33–19:14:37  Step off the escalator into the MTR concourse
19:14:37–19:14:40  Walk along the crowded MTR platform
19:14:41–19:14:46  Walk forward on the platform
19:14:47–19:14:55  Walk past a pillar displaying MTR fare and ticket class information
19:14:56–19:15:02  Walk along the platform past the station wall marked with 'Admiralty' (金鐘)
19:15:03–19:15:07  Slow down near a train with open doors as passengers board
19:15:07–19:15:10  Stand on the MTR station platform
19:15:11–19:15:15  Watch passengers board and alight as platform screen doors open
19:15:16–19:15:20  Walk into the crowded MTR train carriage
19:15:21–19:15:25  Stand inside the crowded train
19:15:26–19:15:30  Observe passengers near the carriage door as the train prepares for the next stop
19:15:31–19:15:37  Stand near the doorway inside the train carriage as the train stops
19:15:37–19:15:40  I stand inside a crowded MTR subway car.
19:15:40–19:15:45  I grab the overhead handrail.
19:15:45–19:15:48  I view photos or a gallery app.
19:15:48–19:15:53  I open Bilibili.
19:15:53–19:16:06  I stand in the crowded subway car.
19:16:07–19:16:09  Hold smartphone in a crowded subway train
19:16:10–19:16:13  View notification modal
19:16:14–19:16:18  Scroll through short-video feed
19:16:19–19:16:23  Browse video feed showing news and gaming content
19:16:24–19:16:30  Scroll down video list
19:16:31–19:16:36  Open different app
19:16:37–19:16:40  Watch a video showing hardware benchmarks.
19:16:41–19:16:47  Watch the video as the screen content scrolls and updates.
19:16:48–19:16:53  Watch a tech review video on Bilibili showing a reviewer talking in a room with a shelf and paintings.
19:16:54–19:16:58  Watch the video showing SSD benchmark performance windows with read/write speed data.
19:16:59–19:17:02  View a photo of a computer setup with a monitor running code and hardware components connected.
19:17:03–19:17:07  View technical diagrams of hardware components and performance benchmark tables.
19:17:07–19:17:10  I watch a tech review video.
19:17:11–19:17:16  I watch benchmark results in the video.
19:17:17–19:17:22  I watch sequential read and write speeds in the video.
19:17:23–19:17:30  I watch close-up shots of the PCIe 5.0 NVMe SSD product packaging and specifications in the video.
19:17:31–19:17:37  I watch the installation of the SSD into a hardware slot without a heatsink in the video.
19:17:37–19:17:49  Watch a Bilibili video showing hardware disassembly of an SSD on a laptop.
19:17:50–19:17:57  Watch video footage of gaming and console hardware shots.
19:17:58–19:18:00  Look around the subway carriage and grab handles.
19:18:01–19:18:06  Watch the ending cards and title graphics of the video.
19:18:07–19:18:13  Watch a hardware review video about the TiPlus9100 solid-state drive.
19:18:13–19:18:16  Watch the review show different SSD models and specifications.
19:18:16–19:18:23  Watch the video presentation showing teardown views and internal component details of the SSD.
19:18:23–19:18:27  Watch the video segment showing a reviewer discussing PCIe 5.0 hardware and testing setups.
19:18:27–19:18:30  Observe the video demonstrating thermal testing and hardware stress test setups.
19:18:30–19:18:37  Watch the terminal output logs and transfer speed benchmark results.
19:18:37–19:18:41  Watch a thermal testing video in a crowded subway car
19:18:42–19:18:48  Watch the tech review video transition to a white graphic demonstration
19:18:49–19:18:52  Watch the video show internal hardware components and a reviewer explaining SSD architecture
19:18:53–19:19:07  Watch the reviewer in a studio setting discuss SSD cache features and performance benchmarks
19:19:07–19:19:12  Watch a hardware review video on Bilibili.
19:19:13–19:19:15  Watch test configurations comparing AMD and Intel platforms.
19:19:16–19:19:19  Watch CrystalDiskMark random read/write test results for empty drives.
19:19:20–19:19:27  Watch 70% load test results for both AMD and Intel platforms.
19:19:28–19:19:31  Watch SSD load performance evaluation with viewer comment overlays.
19:19:32–19:19:37  Watch a test segment featuring AS SSD Benchmark.
19:19:37–19:19:43  Watch a Bilibili video showing AS SSD Benchmark sequential read/write test comparisons between AMD and Intel empty disk platforms
19:19:44–19:19:49  Watch the hardware review video as the presenter discusses 4K random read and write tests
19:19:50–19:19:55  Watch the video showing detailed benchmark score tables comparing TiPlus7100s and newer drives
19:19:56–19:20:00  Watch the video transition to the 4K multi-thread read/write and access time tests
19:20:01–19:20:07  Watch the final performance summary and comparison screens showing both Intel and AMD platforms under 70% load
19:20:07–19:20:12  I watch a Bilibili SSD benchmark review video.
19:20:13–19:20:16  I browse the Bilibili recommendation feed.
19:20:16–19:20:17  I tap the BMW 740 video card.
19:20:17–19:20:25  I watch the BMW 740 car review video.
19:20:26–19:20:36  I watch the BMW 740 depreciation discussion.
19:20:37–19:20:42  I watch a Douyin car review video.
19:20:43–19:20:48  I speed up the Douyin video playback.
19:20:49–19:20:57  I watch the Douyin car review video.
19:20:58–19:21:01  I say '好帅呀！'
19:21:02–19:21:06  I say '操，这一代好帅。'
19:21:07–19:21:13  I watch a BMW 740 video by 朱厂长说车.
19:21:14–19:21:18  I fast-forward the video.
19:21:19–19:21:24  I watch the video at normal speed.
19:21:25–19:21:31  I fast-forward the video.
19:21:32–19:21:33  I watch the BMW 740 footage.
19:21:34–19:21:37  I fast-forward the video.
19:21:37–19:21:50  Watch a short video clip featuring a car reviewer talking about luxury cars
19:21:50–19:22:07  Watch the short video showcasing the interior, wheels, and specs of a luxury car
19:22:07–19:22:15  Watch a short video featuring a car reviewer discussing luxury cars.
19:22:16–19:22:23  Watch the short video as the topic shifts to interior options and vehicle pricing.
19:22:24–19:22:30  Watch the next clip where a car reviewer discusses Maybach models.
19:22:31–19:22:37  Watch the final segment of the video showcasing a black Maybach S580 with its specifications.
19:22:37–19:22:50  Watch a Douyin short video review about luxury cars.
19:22:51–19:22:56  Watch the video displaying the luxury car's interior features, seating, and a price tag of 370 to 380 million.
19:22:57–19:23:07  Express utter disbelief at the high price during the car negotiation scene.
19:23:07–19:23:14  I watch a Douyin video about used BMW 740 pricing.
19:23:14–19:23:21  I watch the Douyin video about car profit margins.
19:23:21–19:23:30  I watch the Douyin video explaining car reselling profits.
19:23:30–19:23:35  I watch the Douyin video discussing the vehicle price quote.
19:23:35–19:23:36  I glance down while the Douyin video displays '我回去卖个49万多点'.
19:23:37–19:23:48  I watch a Douyin video about a BMW 740 purchase.
19:23:48–19:23:51  I watch the black BMW on screen.
19:23:51–19:23:56  I watch the host in maroon gesturing.
19:23:56–19:24:00  I say '就是他，如果啊啊，可以把也可以把它放大。'
19:24:00–19:24:07  I press and hold the screen for speed playback.
19:24:07–19:24:10  Watch a short video about used luxury cars on Douyin.
19:24:11–19:24:17  Watch the short video feed playing automotive content.
19:24:18–19:24:20  Navigate to the next video in the feed.
19:24:21–19:24:27  Scroll through the video feed of recommended content thumbnails.
19:24:28–19:24:37  Watch a video showing a cargo vehicle in an industrial setting.
19:24:37–19:24:44  I watch a shipping documentary video on Bilibili.
19:24:45–19:24:48  I watch Iranian news and nature footage in the video.
19:24:49–19:24:59  I watch political commentary graphics and street footage.
19:25:00–19:25:04  I say '晚一点吧，晚上或者晚上这些都先休息。'
19:25:04–19:25:07  I say '要么就你先，要去的话，你先。'
19:25:07–19:25:13  I watch a Bilibili documentary video.
19:25:14–19:25:19  I watch cargo ship footage in the video.
19:25:20–19:25:25  I watch historical document graphics in the video.
19:25:26–19:25:31  I watch aerial maritime footage in the video.
19:25:32–19:25:36  I watch accelerated video playback.
19:25:37–19:25:42  I watch a Bilibili documentary video.
19:25:43–19:25:46  I say '我操！这有点儿帅。'
19:25:47–19:25:52  I scroll through the Bilibili feed.
19:25:53–19:26:06  I watch a transit vlog video.
19:26:07–19:26:09  Watch a Bilibili video about Beihai's on-demand bus system while friend says '我们去北海吧。'
19:26:09–19:26:12  Reply '好啊。我还没去过广西。' to friend
19:26:12–19:26:19  Watch video showing minibus interior while friend says '我又好想去云南啊！云南这个地方真的有毒，去了一次还想去，去了一次又想去。'
19:26:19–19:26:23  Read video text overlay describing Beihai's location while friend says '笑死。你要去吗？'
19:26:23–19:26:28  Reply '去。哪都去，就是不去新疆。'
19:26:28–19:26:36  Look at line graph in video while friend laughs '哈哈哈哈哈。'
19:26:37–19:26:42  I watch a Bilibili video about Beihai's seasonal migrants.
19:26:42–19:26:44  A passenger says '真不想去深圳，珠海可以。'.
19:26:44–19:26:54  I read the Bilibili video slide about Beihai bus acquisition.
19:26:54–19:26:56  I watch the Bilibili video photo of a city bus.
19:26:56–19:27:00  I monitor the Bilibili video progress bar.
19:27:00–19:27:06  I read the Bilibili video slide citing Beihai Daily.
19:27:07–19:27:10  Watch a video on Bilibili inside a crowded train
19:27:10–19:27:18  Continue watching the Bilibili video
19:27:18–19:27:23  Scroll through video recommendations and details
19:27:23–19:27:28  React aloud to the title '网约巡游公交'
19:27:28–19:27:37  Arrive at Kowloon Tong station on the train
19:27:37–19:27:42  I view a geometric post.
19:27:42–19:27:44  I look at the Kowloon Tong station display.
19:27:44–19:27:46  I glance at the passenger beside me.
19:27:46–19:27:48  I say '不是我发的，有人三百。'
19:27:48–19:27:52  I look at my phone screen.
19:27:52–19:27:58  I browse video recommendations on Bilibili.
19:27:58–19:28:01  I open a video on Bilibili.
19:28:01–19:28:03  I look at the Kowloon Tong station display.
19:28:03–19:28:05  I say '哦，我身上没上，操！'
19:28:05–19:28:07  I watch the Bilibili news video.
19:28:07–19:28:13  I watch a Bilibili news report.
19:28:14–19:28:21  I watch the marine rotor sail announcement.
19:28:22–19:28:27  I inspect the marine rotor sail footage.
19:28:28–19:28:36  I watch the rotor sail demonstration.
19:28:37–19:28:41  I watch the Bilibili video about China's marine rotor sail propulsion system.
19:28:42–19:28:44  I watch footage of CSSC engineers inspecting the rotor sail system.
19:28:45–19:28:51  I watch schematics and test footage of the rotor cylinder.
19:28:52–19:28:56  I observe the animated Magnus effect diagram on the video.
19:28:57–19:29:01  I watch a 3D simulation of a rotor-assisted cargo ship.
19:29:02–19:29:06  I watch sea-trial footage of the rotor-powered vessel.
19:29:07–19:29:12  I watch a Bilibili video about ship wind sail simulation.
19:29:13–19:29:21  I watch rotor sail testing facility footage.
19:29:22–19:29:23  I glance at the lower screen.
19:29:24–19:29:26  I view the rotor sail sensor diagram.
19:29:27–19:29:29  I watch engineers operating the control screen.
19:29:30–19:29:36  I watch rotor sail base footage and order announcements.
19:29:37–19:29:39  I return to the recommendation feed.
19:29:40–19:29:45  I browse the Bilibili recommendation feed.
19:29:46–19:29:51  I open a video about Zhang Xue Racing.
19:29:52–19:29:58  I read comments on the WSBK race video.
19:29:59–19:30:02  I return to the Bilibili home feed.
19:30:03–19:30:06  I tap to open another video.
19:30:07–19:30:10  I monitor the buffering video player.
19:30:11–19:30:14  I select the Nordic welfare video card.
19:30:15–19:30:25  I wait for the video to buffer.
19:30:26–19:30:29  I read the video title '【深度】北欧人天天躺平却富得流油？揭秘高福利...'.
19:30:30–19:30:36  I watch the documentary video about Nordic social welfare.
19:30:37–19:30:44  I watch a Bilibili video about Nordic welfare.
19:30:45–19:30:48  I open the Bilibili comment section.
19:30:49–19:30:57  I read a comment comparing European tax rates and subway fares.
19:30:58–19:31:06  I read comments on wealth redistribution.
19:31:07–19:31:14  I watch a Bilibili video about Nordic tax redistribution.
19:31:15–19:31:22  I watch the video explanation on wealth causes and read danmaku.
19:31:23–19:31:26  I watch the video explain government fiscal deficit limits.
19:31:27–19:31:32  I watch the video transition to Nordic industrial analysis.
19:31:33–19:31:36  I watch the video compare Chinese and Nordic industrial strategies.
19:31:37–19:31:44  I watch a Bilibili video about market scale and industrial profitability.
19:31:45–19:31:53  I watch the video explanation regarding Nordic market limitations in EV development.
19:31:54–19:32:01  I watch the video case study on Tesla's turnaround in China.
19:32:02–19:32:06  I watch the video analyze high-risk industrial subsidies for small economies.
19:32:07–19:32:09  I look at my smartphone inside a crowded MTR train.
19:32:10–19:32:15  I pan around the train interior as passengers prepare to exit.
19:32:16–19:32:21  I step out of the train onto the crowded MTR platform.
19:32:22–19:32:29  I follow the crowd along the crowded station platform.
19:32:30–19:32:37  I walk along the MTR station corridor past advertising panels and a fire hose reel cabinet.
19:32:37–19:32:41  I ask '那我们走商场还是走机口？'
19:32:41–19:32:44  My companion says '走商场。'
19:32:44–19:32:48  My companion says '因为前几次走了机口，你腻，你腻了。'
19:32:48–19:32:51  I say '对。'
19:32:51–19:32:55  My companion says '所以你又要再走一下小商场。'
19:32:55–19:32:58  I say '对。'
19:32:58–19:33:02  My companion says '是要走一下小商场的。'
19:33:02–19:33:07  My companion says '再闻一下paper stone。'
19:33:07–19:33:09  I walk along the platform.
19:33:09–19:33:10  I say '预测大师。'
19:33:10–19:33:13  I say '说不定还要再买一个馒头。'
19:33:13–19:33:15  I say '现在就想吃了。'
19:33:15–19:33:18  I hold up my smartphone.
19:33:18–19:33:19  I say '好吧。'
19:33:19–19:33:30  I watch a video about industry competition and trade tariffs.
19:33:30–19:33:32  I look at a commuter's hoodie.
19:33:32–19:33:36  I watch a video discussing Nordic youth.
19:33:37–19:33:41  I step onto the escalator.
19:33:41–19:33:45  I observe commuters on the escalator.
19:33:45–19:33:52  I watch the Bilibili video about dairy industry history.
19:33:52–19:33:56  I say '不用。我给我买叉S。' to companion.
19:33:56–19:33:59  Companion says '你看不起我？什么意思？'.
19:33:59–19:34:02  I examine advertising posters on the escalator wall.
19:34:02–19:34:07  I watch the Bilibili video on phone.
19:34:07–19:34:17  I watch a video about dairy industry standards.
19:34:18–19:34:24  I step off the escalator.
19:34:25–19:34:27  I look towards the eat east shop.
19:34:28–19:34:29  I glance at the 華御結 store.
19:34:30–19:34:32  I watch a pedestrian carrying a box.
19:34:33–19:34:37  I walk across the station concourse.
19:34:37–19:34:40  I walk into the MTR station concourse.
19:34:40–19:34:45  I walk toward the central elevator and platform directory.
19:34:45–19:34:51  I walk past a portable air cooler.
19:34:51–19:34:56  I look at a Coucou Hotpot billboard.
19:34:56–19:35:01  I walk toward the EFX24 billboard and East Rail Line signs.
19:35:01–19:35:07  I walk toward the station escalators and exits.
19:35:07–19:35:14  I say '永远也忘不了第一次在这边说：“给我爸妈找，结果找了半个小时没找到。”'
19:35:14–19:35:21  I say '结果找到了，还是找了那个F口，就是没有那个电梯，真走了半小时。'
19:35:21–19:35:26  I say '我们我们四个箱子，箱子都放满了，但是没找到。'
19:35:27–19:35:30  I exit through the fare gate.
19:35:31–19:35:34  My companion says '你搁这军训'.
19:35:34–19:35:37  My companion says '你爸来了。'
19:35:37–19:35:45  I walk along the concourse corridor.
19:35:46–19:35:51  I approach the 爭鮮 Sushi Express display cabinet.
19:35:52–19:35:55  My companion says '你又要来选妃了，走吧。'
19:35:56–19:36:06  I inspect the sushi boxes and drinks in the display case.
19:36:07–19:36:15  I walk through the station concourse.
19:36:16–19:36:20  I look at the Japan specialty map poster.
19:36:21–19:36:23  I look into the Japanese grocery store.
19:36:23–19:36:26  I say '反正他还没打折，他会打折吗？' to my companion.
19:36:27–19:36:32  I walk past the Exit B wall panel.
19:36:33–19:36:34  I look at the Exit B destination directory sign.
19:36:35–19:36:37  I walk toward the transport interchange.
19:36:37–19:36:42  I walk toward the escalator.
19:36:42–19:36:44  I step onto the escalator.
19:36:44–19:36:54  I watch a video on Danish agriculture.
19:36:54–19:37:07  I monitor the phone video.
19:37:07–19:37:20  I watch a video about Swedish industry while riding the escalator.
19:37:21–19:37:28  I watch the video discussing Ericsson and Hasselblad.
19:37:29–19:37:30  I say '嗯。'
19:37:31–19:37:33  I step off the escalator into the mall.
19:37:34–19:37:37  I walk through the shopping mall concourse.
19:37:37–19:37:41  I walk toward the open atrium.
19:37:41–19:37:43  I say '往右边，好凉快儿。'
19:37:43–19:37:46  I look at the TISSOT watch kiosk.
19:37:47–19:37:51  I walk toward the Pokémon pop-up area.
19:37:52–19:37:57  I observe the Pokémon pop-up exhibition.
19:37:58–19:38:00  I approach the Pokémon plush sofa.
19:38:01–19:38:03  I say '好大个，大个。'
19:38:03–19:38:04  I gaze at the Snorlax plush.
19:38:04–19:38:06  I hold my companion's hand.
19:38:07–19:38:10  I pick up the Pikachu plush.
19:38:10–19:38:12  My companion asks '哪个？'.
19:38:12–19:38:16  I say '都好可爱。'.
19:38:16–19:38:22  I look at the pop-up space wall and mall concourse.
19:38:22–19:38:25  I examine the Snorlax plush on the couch.
19:38:25–19:38:29  I look at the Pikachu plush on my lap.
19:38:29–19:38:33  My companion says 'Pika。'.
19:38:33–19:38:36  I look up at my companion.
19:38:37–19:38:40  I stand facing my companion.
19:38:41–19:38:45  I sit on a brown sofa.
19:38:46–19:38:53  I let my companion hold my hand.
19:38:54–19:38:57  I interlock fingers with my companion.
19:38:58–19:39:00  I look down at my sleeve.
19:39:01–19:39:02  My companion pulls me up as she says '皮卡，走吧，妈妈带你回家。皮卡，皮卡，皮卡，皮卡，皮卡。'
19:39:03–19:39:06  I survey the Pokémon pop-up store.
19:39:07–19:39:12  I look at the Pokémon event booth.
19:39:12–19:39:14  I say '哎呀！我们班有。'
19:39:14–19:39:20  I walk along the mall concourse.
19:39:20–19:39:27  I inspect the agnès b. CAFÉ dessert showcase.
19:39:27–19:39:29  I look at the agnès b. CAFÉ signage.
19:39:29–19:39:34  I walk down the corridor toward MUJI.
19:39:34–19:39:37  I check the video playback on my phone.
19:39:37–19:39:41  I read Bilibili comments about European taxes.
19:39:42–19:39:54  I scroll the Bilibili feed.
19:39:55–19:40:06  I watch a short video about smart agricultural seeders.
19:40:07–19:40:17  I watch an agricultural machinery video on my phone while walking.
19:40:18–19:40:20  I look ahead down the walkway while continuing to monitor my phone.
19:40:21–19:40:23  My companion asks '买一送一，你要不要冰淇淋？'.
19:40:24–19:40:26  I ask '在哪里？'.
19:40:27–19:40:30  I say '冰淇淋，不要。'.
19:40:31–19:40:36  My companion asks '为什么不要？'.
19:40:37–19:40:42  I walk while watching an agricultural machinery video.
19:40:43–19:40:44  I step onto the downward escalator.
19:40:45–19:40:48  I say '有意思，这个种植的。'
19:40:48–19:40:52  I watch the '滴滴农机' platform video.
19:40:53–19:40:57  I return to the Bilibili home feed.
19:40:58–19:41:02  I say '我有点困。睡觉回去。'
19:41:03–19:41:06  I browse the Bilibili video feed.
19:41:07–19:41:08  I say '第一次聊开心的'.
19:41:09–19:41:11  I watch the Bilibili laptop review.
19:41:12–19:41:14  I say '这是什么新店？'.
19:41:15–19:41:16  I say '哦不错'.
19:41:17–19:41:19  I say '哇，关机了，我操！'.
19:41:20–19:41:24  I walk along the mall corridor.
19:41:25–19:41:30  I examine the Mannings promotional light box.
19:41:31–19:41:33  I inspect product price displays at Mannings.
19:41:34–19:41:36  I look toward shop 301 and corridor exit.
19:41:37–19:41:43  I enter Paper Stone Bakery.
19:41:44–19:41:46  I approach the bakery counter.
19:41:47–19:41:53  I inspect Tangerine Basque Brick and Pancake tags.
19:41:54–19:41:59  I read French bread tags.
19:42:00–19:42:02  I view sandwiches and muffins.
19:42:03–19:42:06  I look at the bread wall shelving.
19:42:07–19:42:09  I browse the bakery display case.
19:42:09–19:42:11  My companion says '走吧，要不了了。'
19:42:11–19:42:13  I ask '为啥？'
19:42:13–19:42:15  My companion says '没有手机了。'
19:42:15–19:42:17  I say '我有啊。'
19:42:17–19:42:19  My companion says '没事儿，走吧。'
19:42:19–19:42:22  I ask '哪杯你要吃？你要啥？你要吃哪杯？'
19:42:22–19:42:25  My companion says '走吧。'
19:42:25–19:42:27  I ask '咋不吃了？'
19:42:27–19:42:29  My companion says '以后再吃吧。'
19:42:29–19:42:31  I say '傻子。'
19:42:31–19:42:33  My companion says '啊？不想吃。'
19:42:33–19:42:37  I walk onto the footbridge.
19:42:37–19:42:42  I walk along the footbridge.
19:42:43–19:42:47  I look down at the highway.
19:42:48–19:42:51  I examine the road sign.
19:42:52–19:42:54  My companion says '你的弹幕，我的弹幕，怎么不一样？'.
